Freq.	V(vo)
1.10662378397766e+001	(-1.17552701505800e+001dB,7.20917644531842e+001°)
1.10917481526240e+001	(-1.17378919110248e+001dB,7.20503147695110e+001°)
1.11173172728159e+001	(-1.17205222428784e+001dB,7.20088178835948e+001°)
1.11429453359173e+001	(-1.17031611646561e+001dB,7.19672737667751e+001°)
1.11686324778056e+001	(-1.16858086948852e+001dB,7.19256823905669e+001°)
1.11943788346715e+001	(-1.16684648521049e+001dB,7.18840437266597e+001°)
1.12201845430196e+001	(-1.16511296548664e+001dB,7.18423577469168e+001°)
1.12460497396692e+001	(-1.16338031217329e+001dB,7.18006244233748e+001°)
1.12719745617551e+001	(-1.16164852712799e+001dB,7.17588437282423e+001°)
1.12979591467279e+001	(-1.15991761220950e+001dB,7.17170156339004e+001°)
1.13240036323555e+001	(-1.15818756927782e+001dB,7.16751401129007e+001°)
1.13501081567231e+001	(-1.15645840019417e+001dB,7.16332171379657e+001°)
1.13762728582343e+001	(-1.15473010682105e+001dB,7.15912466819869e+001°)
1.14024978756117e+001	(-1.15300269102218e+001dB,7.15492287180256e+001°)
1.14287833478977e+001	(-1.15127615466257e+001dB,7.15071632193109e+001°)
1.14551294144553e+001	(-1.14955049960850e+001dB,7.14650501592401e+001°)
1.14815362149688e+001	(-1.14782572772753e+001dB,7.14228895113770e+001°)
1.15080038894443e+001	(-1.14610184088850e+001dB,7.13806812494524e+001°)
1.15345325782109e+001	(-1.14437884096158e+001dB,7.13384253473620e+001°)
1.15611224219210e+001	(-1.14265672981825e+001dB,7.12961217791678e+001°)
1.15877735615512e+001	(-1.14093550933130e+001dB,7.12537705190955e+001°)
1.16144861384034e+001	(-1.13921518137487e+001dB,7.12113715415348e+001°)
1.16412602941049e+001	(-1.13749574782443e+001dB,7.11689248210389e+001°)
1.16680961706096e+001	(-1.13577721055683e+001dB,7.11264303323234e+001°)
1.16949939101987e+001	(-1.13405957145028e+001dB,7.10838880502662e+001°)
1.17219536554813e+001	(-1.13234283238437e+001dB,7.10412979499068e+001°)
1.17489755493953e+001	(-1.13062699524010e+001dB,7.09986600064451e+001°)
1.17760597352080e+001	(-1.12891206189984e+001dB,7.09559741952422e+001°)
1.18032063565173e+001	(-1.12719803424743e+001dB,7.09132404918186e+001°)
1.18304155572516e+001	(-1.12548491416810e+001dB,7.08704588718534e+001°)
1.18576874816716e+001	(-1.12377270354855e+001dB,7.08276293111856e+001°)
1.18850222743701e+001	(-1.12206140427693e+001dB,7.07847517858119e+001°)
1.19124200802737e+001	(-1.12035101824286e+001dB,7.07418262718866e+001°)
1.19398810446427e+001	(-1.11864154733747e+001dB,7.06988527457212e+001°)
1.19674053130724e+001	(-1.11693299345336e+001dB,7.06558311837843e+001°)
1.19949930314937e+001	(-1.11522535848466e+001dB,7.06127615626998e+001°)
1.20226443461741e+001	(-1.11351864432704e+001dB,7.05696438592488e+001°)
1.20503594037179e+001	(-1.11181285287770e+001dB,7.05264780503664e+001°)
1.20781383510678e+001	(-1.11010798603542e+001dB,7.04832641131436e+001°)
1.21059813355048e+001	(-1.10840404570053e+001dB,7.04400020248249e+001°)
1.21338885046497e+001	(-1.10670103377498e+001dB,7.03966917628094e+001°)
1.21618600064636e+001	(-1.10499895216231e+001dB,7.03533333046495e+001°)
1.21898959892486e+001	(-1.10329780276769e+001dB,7.03099266280516e+001°)
1.22179966016487e+001	(-1.10159758749794e+001dB,7.02664717108739e+001°)
1.22461619926504e+001	(-1.09989830826154e+001dB,7.02229685311278e+001°)
1.22743923115840e+001	(-1.09819996696862e+001dB,7.01794170669764e+001°)
1.23026877081238e+001	(-1.09650256553102e+001dB,7.01358172967352e+001°)
1.23310483322890e+001	(-1.09480610586231e+001dB,7.00921691988706e+001°)
1.23594743344450e+001	(-1.09311058987775e+001dB,7.00484727520006e+001°)
1.23879658653036e+001	(-1.09141601949437e+001dB,7.00047279348939e+001°)
