Freq.	V(vo)
1.04712854805090e+003	(-7.79389141838506e-002dB,8.78756092409422e-001°)
1.07151930523760e+003	(-7.78974456772925e-002dB,8.58755693943649e-001°)
1.09647819614318e+003	(-7.78578432160176e-002dB,8.39210391132205e-001°)
1.12201845430196e+003	(-7.78200228445034e-002dB,8.20109836010702e-001°)
1.14815362149688e+003	(-7.77839043831777e-002dB,8.01443915410529e-001°)
1.17489755493953e+003	(-7.77494112587026e-002dB,7.83202745664641e-001°)
1.20226443461741e+003	(-7.77164703418983e-002dB,7.65376667430319e-001°)
1.23026877081238e+003	(-7.76850117929038e-002dB,7.47956240626915e-001°)
1.25892541179416e+003	(-7.76549689133333e-002dB,7.30932239484940e-001°)
1.28824955169313e+003	(-7.76262780050232e-002dB,7.14295647706557e-001°)
1.31825673855640e+003	(-7.75988782351797e-002dB,6.98037653732891e-001°)
1.34896288259165e+003	(-7.75727115075242e-002dB,6.82149646115799e-001°)
1.38038426460288e+003	(-7.75477223392636e-002dB,6.66623208995662e-001°)
1.41253754462275e+003	(-7.75238577435869e-002dB,6.51450117675968e-001°)
1.44543977074592e+003	(-7.75010671173961e-002dB,6.36622334300557e-001°)
1.47910838816820e+003	(-7.74793021341740e-002dB,6.22132003624553e-001°)
1.51356124843620e+003	(-7.74585166415290e-002dB,6.07971448882359e-001°)
1.54881661891248e+003	(-7.74386665634945e-002dB,5.94133167745914e-001°)
1.58489319246111e+003	(-7.74197098071000e-002dB,5.80609828374969e-001°)
1.62181009735892e+003	(-7.74016061732104e-002dB,5.67394265554627e-001°)
1.65958690743755e+003	(-7.73843172713114e-002dB,5.54479476921913e-001°)
1.69824365246174e+003	(-7.73678064382313e-002dB,5.41858619273657e-001°)
1.73780082874937e+003	(-7.73520386603627e-002dB,5.29525004960060e-001°)
1.77827941003892e+003	(-7.73369804995316e-002dB,5.17472098358262e-001°)
1.81970085860998e+003	(-7.73226000220897e-002dB,5.05693512425595e-001°)
1.86208713666286e+003	(-7.73088667312681e-002dB,4.94183005329299e-001°)
1.90546071796324e+003	(-7.72957515025192e-002dB,4.82934477153161e-001°)
1.94984459975804e+003	(-7.72832265218027e-002dB,4.71941966678597e-001°)
1.99526231496887e+003	(-7.72712652266009e-002dB,4.61199648237835e-001°)
2.04173794466952e+003	(-7.72598422496749e-002dB,4.50701828637036e-001°)
2.08929613085403e+003	(-7.72489333652188e-002dB,4.40442944150446e-001°)
2.13796208950222e+003	(-7.72385154375804e-002dB,4.30417557581291e-001°)
2.18776162394954e+003	(-7.72285663721389e-002dB,4.20620355390623e-001°)
2.23872113856833e+003	(-7.72190650685592e-002dB,4.11046144887860e-001°)
2.29086765276776e+003	(-7.72099913759710e-002dB,4.01689851487905e-001°)
2.34422881531991e+003	(-7.72013260503128e-002dB,3.92546516028911e-001°)
2.39883291901948e+003	(-7.71930507134846e-002dB,3.83611292151467e-001°)
