Freq.	V(vout)/V(vin)
1.99526231496888e+000	(-1.39497292641376e+002dB,1.79922945484711e+002°)
2.04173794466953e+000	(-1.39097292964860e+002dB,1.79921150656298e+002°)
2.08929613085404e+000	(-1.38697293303590e+002dB,1.79919314021090e+002°)
2.13796208950223e+000	(-1.38297293658284e+002dB,1.79917434605291e+002°)
2.18776162394955e+000	(-1.37897294029694e+002dB,1.79915511412424e+002°)
2.23872113856834e+000	(-1.37497294418608e+002dB,1.79913543422801e+002°)
2.29086765276777e+000	(-1.37097294825851e+002dB,1.79911529592981e+002°)
2.34422881531992e+000	(-1.36697295252286e+002dB,1.79909468855223e+002°)
2.39883291901949e+000	(-1.36297295698819e+002dB,1.79907360116912e+002°)
2.45470891568503e+000	(-1.35897296166396e+002dB,1.79905202259987e+002°)
2.51188643150958e+000	(-1.35497296656009e+002dB,1.79902994140343e+002°)
2.57039578276886e+000	(-1.35097297168697e+002dB,1.79900734587227e+002°)
2.63026799189538e+000	(-1.34697297705547e+002dB,1.79898422402617e+002°)
2.69153480392691e+000	(-1.34297298267699e+002dB,1.79896056360586e+002°)
2.75422870333816e+000	(-1.33897298856343e+002dB,1.79893635206654e+002°)
2.81838293126445e+000	(-1.33497299472729e+002dB,1.79891157657121e+002°)
2.88403150312660e+000	(-1.33097300118165e+002dB,1.79888622398388e+002°)
2.95120922666638e+000	(-1.32697300794019e+002dB,1.79886028086259e+002°)
3.01995172040201e+000	(-1.32297301501724e+002dB,1.79883373345230e+002°)
3.09029543251359e+000	(-1.31897302242783e+002dB,1.79880656767758e+002°)
3.16227766016837e+000	(-1.31497303018767e+002dB,1.79877876913519e+002°)
3.23593656929628e+000	(-1.31097303831322e+002dB,1.79875032308640e+002°)
3.31131121482591e+000	(-1.30697304682170e+002dB,1.79872121444918e+002°)
3.38844156139202e+000	(-1.30297305573118e+002dB,1.79869142779024e+002°)
3.46736850452531e+000	(-1.29897306506055e+002dB,1.79866094731682e+002°)
3.54813389233575e+000	(-1.29497307482960e+002dB,1.79862975686833e+002°)
