Freq.	-I(R)/I(Rl)
1.03800632534507e+000	(8.71547526974074e+001dB,-8.99626232124179e+001°)
1.03848445500828e+000	(8.71507526991105e+001dB,-8.99626059996355e+001°)
1.03896280490904e+000	(8.71467527008151e+001dB,-8.99625887727210e+001°)
1.03944137514880e+000	(8.71427527025200e+001dB,-8.99625715414171e+001°)
1.03992016582906e+000	(8.71387527042278e+001dB,-8.99625543037660e+001°)
1.04039917705135e+000	(8.71347527059371e+001dB,-8.99625370519749e+001°)
1.04087840891727e+000	(8.71307527076480e+001dB,-8.99625197977185e+001°)
1.04135786152844e+000	(8.71267527093605e+001dB,-8.99625025332058e+001°)
1.04183753498654e+000	(8.71227527110746e+001dB,-8.99624852623211e+001°)
1.04231742939331e+000	(8.71187527127902e+001dB,-8.99624679811713e+001°)
1.04279754485051e+000	(8.71147527145074e+001dB,-8.99624506916955e+001°)
1.04327788145997e+000	(8.71107527162262e+001dB,-8.99624333938885e+001°)
1.04375843932355e+000	(8.71067527179453e+001dB,-8.99624160916247e+001°)
1.04423921854318e+000	(8.71027527196673e+001dB,-8.99623987810155e+001°)
1.04472021922080e+000	(8.70987527213908e+001dB,-8.99623814581794e+001°)
1.04520144145844e+000	(8.70947527231159e+001dB,-8.99623641328025e+001°)
1.04568288535814e+000	(8.70907527248427e+001dB,-8.99623467932535e+001°)
1.04616455102201e+000	(8.70867527265710e+001dB,-8.99623294530833e+001°)
1.04664643855220e+000	(8.70827527283009e+001dB,-8.99623121006686e+001°)
1.04712854805090e+000	(8.70787527300324e+001dB,-8.99622947379431e+001°)
1.04761087962036e+000	(8.70747527317655e+001dB,-8.99622773726353e+001°)
1.04809343336288e+000	(8.70707527335009e+001dB,-8.99622599970044e+001°)
1.04857620938077e+000	(8.70667527352358e+001dB,-8.99622426110476e+001°)
1.04905920777645e+000	(8.70627527369737e+001dB,-8.99622252205528e+001°)
1.04954242865232e+000	(8.70587527387132e+001dB,-8.99622078197217e+001°)
1.05002587211089e+000	(8.70547527404543e+001dB,-8.99621904143366e+001°)
1.05050953825466e+000	(8.70507527421970e+001dB,-8.99621729947497e+001°)
1.05099342718622e+000	(8.70467527439413e+001dB,-8.99621555725231e+001°)
1.05147753900818e+000	(8.70427527456872e+001dB,-8.99621381418664e+001°)
1.05196187382323e+000	(8.70387527474347e+001dB,-8.99621207027745e+001°)
1.05244643173406e+000	(8.70347527491838e+001dB,-8.99621032552419e+001°)
1.05293121284344e+000	(8.70307527509346e+001dB,-8.99620857954174e+001°)
1.05341621725419e+000	(8.70267527526856e+001dB,-8.99620683309895e+001°)
1.05390144506916e+000	(8.70227527544396e+001dB,-8.99620508600264e+001°)
1.05438689639126e+000	(8.70187527561951e+001dB,-8.99620333786795e+001°)
1.05487257132344e+000	(8.70147527579523e+001dB,-8.99620158927044e+001°)
1.05535846996870e+000	(8.70107527597112e+001dB,-8.99619983963350e+001°)
1.05584459243008e+000	(8.70067527614715e+001dB,-8.99619808895684e+001°)
1.05633093881069e+000	(8.70027527632336e+001dB,-8.99619633781526e+001°)
1.05681750921366e+000	(8.69987527649973e+001dB,-8.99619458563292e+001°)
1.05730430374219e+000	(8.69947527667626e+001dB,-8.99619283298407e+001°)
1.05779132249950e+000	(8.69907527685295e+001dB,-8.99619107910198e+001°)
1.05827856558890e+000	(8.69867527702981e+001dB,-8.99618932475197e+001°)
1.05876603311370e+000	(8.69827527720683e+001dB,-8.99618756955049e+001°)
1.05925372517729e+000	(8.69787527738387e+001dB,-8.99618581349703e+001°)
1.05974164188310e+000	(8.69747527756121e+001dB,-8.99618405639999e+001°)
1.06022978333460e+000	(8.69707527773872e+001dB,-8.99618229864105e+001°)
1.06071814963532e+000	(8.69667527791640e+001dB,-8.99618054021943e+001°)
1.06120674088882e+000	(8.69627527809423e+001dB,-8.99617878075273e+001°)
1.06169555719873e+000	(8.69587527827222e+001dB,-8.99617702081283e+001°)
1.06218459866871e+000	(8.69547527845038e+001dB,-8.99617525982679e+001°)
1.06267386540247e+000	(8.69507527862871e+001dB,-8.99617349798488e+001°)
1.06316335750378e+000	(8.69467527880720e+001dB,-8.99617173547704e+001°)
1.06365307507644e+000	(8.69427527898586e+001dB,-8.99616997211209e+001°)
1.06414301822432e+000	(8.69387527916467e+001dB,-8.99616820788953e+001°)
1.06463318705131e+000	(8.69347527934366e+001dB,-8.99616644299899e+001°)
1.06512358166138e+000	(8.69307527952294e+001dB,-8.99616467724960e+001°)
1.06561420215852e+000	(8.69267527970212e+001dB,-8.99616291045081e+001°)
1.06610504864678e+000	(8.69227527988160e+001dB,-8.99616114298221e+001°)
1.06659612123026e+000	(8.69187528006124e+001dB,-8.99615937484300e+001°)
1.06708742001310e+000	(8.69147528024104e+001dB,-8.99615760565289e+001°)
1.06757894509950e+000	(8.69107528042102e+001dB,-8.99615583560129e+001°)
1.06807069659369e+000	(8.69067528060117e+001dB,-8.99615406525638e+001°)
1.06856267459996e+000	(8.69027528078147e+001dB,-8.99615229366942e+001°)
1.06905487922266e+000	(8.68987528096194e+001dB,-8.99615052121919e+001°)
1.06954731056616e+000	(8.68947528114258e+001dB,-8.99614874790518e+001°)
1.07003996873490e+000	(8.68907528132338e+001dB,-8.99614697372685e+001°)
1.07053285383336e+000	(8.68867528150436e+001dB,-8.99614519925109e+001°)
1.07102596596607e+000	(8.68827528168549e+001dB,-8.99614342353134e+001°)
1.07151930523761e+000	(8.68787528186679e+001dB,-8.99614164713447e+001°)
1.07201287175260e+000	(8.68747528204827e+001dB,-8.99613987005969e+001°)
1.07250666561571e+000	(8.68707528222991e+001dB,-8.99613809192865e+001°)
1.07300068693166e+000	(8.68667528241171e+001dB,-8.99613631292977e+001°)
1.07349493580524e+000	(8.68627528259356e+001dB,-8.99613453362837e+001°)
1.07398941234125e+000	(8.68587528277569e+001dB,-8.99613275270344e+001°)
1.07448411664456e+000	(8.68547528295814e+001dB,-8.99613097128615e+001°)
1.07497904882009e+000	(8.68507528314061e+001dB,-8.99612918899873e+001°)
1.07547420897279e+000	(8.68467528332326e+001dB,-8.99612740640546e+001°)
1.07596959720769e+000	(8.68427528350607e+001dB,-8.99612562237595e+001°)
1.07646521362984e+000	(8.68387528368905e+001dB,-8.99612383803902e+001°)
1.07696105834435e+000	(8.68347528387220e+001dB,-8.99612205245330e+001°)
1.07745713145637e+000	(8.68307528405552e+001dB,-8.99612026580672e+001°)
1.07795343307111e+000	(8.68267528423900e+001dB,-8.99611847903819e+001°)
1.07844996329383e+000	(8.68227528442266e+001dB,-8.99611669101965e+001°)
1.07894672222983e+000	(8.68187528460648e+001dB,-8.99611490231406e+001°)
1.07944370998446e+000	(8.68147528479048e+001dB,-8.99611311273308e+001°)
1.07994092666311e+000	(8.68107528497465e+001dB,-8.99611132246366e+001°)
1.08043837237123e+000	(8.68067528515898e+001dB,-8.99610953131760e+001°)
1.08093604721433e+000	(8.68027528534348e+001dB,-8.99610773948171e+001°)
1.08143395129794e+000	(8.67987528552815e+001dB,-8.99610594620625e+001°)
1.08193208472766e+000	(8.67947528571300e+001dB,-8.99610415261436e+001°)
1.08243044760913e+000	(8.67907528589801e+001dB,-8.99610235814356e+001°)
1.08292904004805e+000	(8.67867528608319e+001dB,-8.99610056279330e+001°)
1.08342786215014e+000	(8.67827528626841e+001dB,-8.99609876693685e+001°)
1.08392691402121e+000	(8.67787528645393e+001dB,-8.99609696945234e+001°)
1.08442619576708e+000	(8.67747528663964e+001dB,-8.99609517202072e+001°)
1.08492570749364e+000	(8.67707528682550e+001dB,-8.99609337296050e+001°)
1.08542544930683e+000	(8.67667528701153e+001dB,-8.99609157376455e+001°)
1.08592542131263e+000	(8.67627528719774e+001dB,-8.99608977349900e+001°)
1.08642562361707e+000	(8.67587528738412e+001dB,-8.99608797234995e+001°)
1.08692605632623e+000	(8.67547528757068e+001dB,-8.99608617031689e+001°)
1.08742671954625e+000	(8.67507528775740e+001dB,-8.99608436721308e+001°)
1.08792761338329e+000	(8.67467528794429e+001dB,-8.99608256359659e+001°)
1.08842873794360e+000	(8.67427528813136e+001dB,-8.99608075909433e+001°)
1.08893009333344e+000	(8.67387528831861e+001dB,-8.99607895426359e+001°)
1.08943167965914e+000	(8.67347528850602e+001dB,-8.99607714798792e+001°)
1.08993349702707e+000	(8.67307528869360e+001dB,-8.99607534082489e+001°)
1.09043554554366e+000	(8.67267528888135e+001dB,-8.99607353314535e+001°)
1.09093782531539e+000	(8.67227528906929e+001dB,-8.99607172476264e+001°)
1.09144033644876e+000	(8.67187528925739e+001dB,-8.99606991493392e+001°)
1.09194307905036e+000	(8.67147528944567e+001dB,-8.99606810458658e+001°)
1.09244605322680e+000	(8.67107528963412e+001dB,-8.99606629371958e+001°)
1.09294925908475e+000	(8.67067528982275e+001dB,-8.99606448177611e+001°)
1.09345269673092e+000	(8.67027529001154e+001dB,-8.99606266875588e+001°)
1.09395636627210e+000	(8.66987529020051e+001dB,-8.99606085521389e+001°)
1.09446026781508e+000	(8.66947529038966e+001dB,-8.99605904096410e+001°)
1.09496440146675e+000	(8.66907529057897e+001dB,-8.99605722545097e+001°)
1.09546876733400e+000	(8.66867529076847e+001dB,-8.99605540922898e+001°)
1.09597336552381e+000	(8.66827529095814e+001dB,-8.99605359248209e+001°)
1.09647819614319e+000	(8.66787529114798e+001dB,-8.99605177483995e+001°)
1.09698325929920e+000	(8.66747529133800e+001dB,-8.99604995611743e+001°)
1.09748855509895e+000	(8.66707529152819e+001dB,-8.99604813631427e+001°)
1.09799408364961e+000	(8.66667529171856e+001dB,-8.99604631598342e+001°)
1.09849984505838e+000	(8.66627529190911e+001dB,-8.99604449530816e+001°)
1.09900583943252e+000	(8.66587529209982e+001dB,-8.99604267299754e+001°)
1.09951206687935e+000	(8.66547529229071e+001dB,-8.99604085015695e+001°)
1.10001852750622e+000	(8.66507529248179e+001dB,-8.99603902660131e+001°)
1.10052522142055e+000	(8.66467529267317e+001dB,-8.99603720196184e+001°)
1.10103214872978e+000	(8.66427529286458e+001dB,-8.99603537642219e+001°)
1.10153930954142e+000	(8.66387529305618e+001dB,-8.99603355034944e+001°)
1.10204670396303e+000	(8.66347529324796e+001dB,-8.99603172374258e+001°)
1.10255433210223e+000	(8.66307529343991e+001dB,-8.99602989531502e+001°)
1.10306219406665e+000	(8.66267529363204e+001dB,-8.99602806690314e+001°)
1.10357028996402e+000	(8.66227529382434e+001dB,-8.99602623740426e+001°)
1.10407861990208e+000	(8.66187529401682e+001dB,-8.99602440700151e+001°)
1.10458718398863e+000	(8.66147529420949e+001dB,-8.99602257587768e+001°)
1.10509598233154e+000	(8.66107529440232e+001dB,-8.99602074366551e+001°)
1.10560501503871e+000	(8.66067529459534e+001dB,-8.99601891054789e+001°)
1.10611428221808e+000	(8.66027529478852e+001dB,-8.99601707670733e+001°)
1.10662378397767e+000	(8.65987529498189e+001dB,-8.99601524214306e+001°)
1.10713352042552e+000	(8.65947529517544e+001dB,-8.99601340685430e+001°)
1.10764349166975e+000	(8.65907529536917e+001dB,-8.99601157047465e+001°)
1.10815369781849e+000	(8.65867529556307e+001dB,-8.99600973336927e+001°)
1.10866413897996e+000	(8.65827529575716e+001dB,-8.99600789517212e+001°)
1.10917481526240e+000	(8.65787529595142e+001dB,-8.99600605624803e+001°)
1.10968572677413e+000	(8.65747529614586e+001dB,-8.99600421677867e+001°)
1.11019687362348e+000	(8.65707529634048e+001dB,-8.99600237603348e+001°)
1.11070825591887e+000	(8.65667529653528e+001dB,-8.99600053455933e+001°)
1.11121987376874e+000	(8.65627529673025e+001dB,-8.99599869235545e+001°)
1.11173172728160e+000	(8.65587529692541e+001dB,-8.99599684923891e+001°)
1.11224381656599e+000	(8.65547529712076e+001dB,-8.99599500539125e+001°)
1.11275614173052e+000	(8.65507529731627e+001dB,-8.99599316062970e+001°)
1.11326870288385e+000	(8.65467529751197e+001dB,-8.99599131513563e+001°)
1.11378150013467e+000	(8.65427529770785e+001dB,-8.99598946854467e+001°)
1.11429453359173e+000	(8.65387529790391e+001dB,-8.99598762103824e+001°)
1.11480780336385e+000	(8.65347529810014e+001dB,-8.99598577297908e+001°)
