Freq.	V(vo)
1.00809160936429e+001	(-1.24561686408291e+001dB,7.37114114200344e+001°)
1.00832375776155e+001	(-1.24543979991409e+001dB,7.37074561767233e+001°)
1.00855595961910e+001	(-1.24526274357155e+001dB,7.37035004759177e+001°)
1.00878821494927e+001	(-1.24508569505711e+001dB,7.36995443175812e+001°)
1.00902052376435e+001	(-1.24490865437256e+001dB,7.36955877016781e+001°)
1.00925288607668e+001	(-1.24473162151970e+001dB,7.36916306281721e+001°)
1.00948530189857e+001	(-1.24455459650033e+001dB,7.36876730970269e+001°)
1.00971777124234e+001	(-1.24437757931625e+001dB,7.36837151082067e+001°)
1.00995029412032e+001	(-1.24420056996926e+001dB,7.36797566616756e+001°)
1.01018287054483e+001	(-1.24402356846116e+001dB,7.36757977573972e+001°)
1.01041550052821e+001	(-1.24384657479374e+001dB,7.36718383953357e+001°)
1.01064818408279e+001	(-1.24366958896881e+001dB,7.36678785754549e+001°)
1.01088092122091e+001	(-1.24349261098818e+001dB,7.36639182977192e+001°)
1.01111371195490e+001	(-1.24331564085363e+001dB,7.36599575620926e+001°)
1.01134655629712e+001	(-1.24313867856697e+001dB,7.36559963685389e+001°)
1.01157945425990e+001	(-1.24296172413001e+001dB,7.36520347170225e+001°)
1.01181240585559e+001	(-1.24278477754453e+001dB,7.36480726075075e+001°)
1.01204541109654e+001	(-1.24260783881235e+001dB,7.36441100399577e+001°)
1.01227846999511e+001	(-1.24243090793526e+001dB,7.36401470143376e+001°)
1.01251158256365e+001	(-1.24225398491506e+001dB,7.36361835306113e+001°)
1.01274474881453e+001	(-1.24207706975356e+001dB,7.36322195887429e+001°)
1.01297796876010e+001	(-1.24190016245256e+001dB,7.36282551886968e+001°)
1.01321124241273e+001	(-1.24172326301385e+001dB,7.36242903304373e+001°)
1.01344456978479e+001	(-1.24154637143924e+001dB,7.36203250139282e+001°)
1.01367795088865e+001	(-1.24136948773053e+001dB,7.36163592391343e+001°)
1.01391138573668e+001	(-1.24119261188953e+001dB,7.36123930060198e+001°)
1.01414487434125e+001	(-1.24101574391803e+001dB,7.36084263145488e+001°)
1.01437841671476e+001	(-1.24083888381783e+001dB,7.36044591646860e+001°)
1.01461201286958e+001	(-1.24066203159074e+001dB,7.36004915563953e+001°)
1.01484566281809e+001	(-1.24048518723856e+001dB,7.35965234896415e+001°)
