Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
100,-18.5160748022974,3.641309189984443,74.58876008359513
104.71285480509,-18.46269497198024,4.025449554004028,73.91888677552858
109.6478196143185,-18.41090250431691,4.384537011570456,73.17500103956283
114.8153621496883,-18.36557461827737,4.749193446010462,72.4810313606536
120.2264434617413,-18.32345309385143,5.111576647603369,71.73436261273315
125.8925411794167,-18.28076424371444,5.464380728774278,70.95297375738961
131.8256738556407,-18.24688238570015,5.819846446400757,70.15330752491832
138.0384264602885,-18.21442217532413,6.176200683032777,69.27890068588565
144.5439770745928,-18.18150787030105,6.519479147984368,68.42126625032601
151.3561248436209,-18.1535457374517,6.861341531536711,67.54581671830321
158.4893192461114,-18.12755596699622,7.198178731216704,66.64136566661681
165.9586907437562,-18.10038233074623,7.527223298690464,65.71801753368338
173.7800828749376,-18.07675140943167,7.853069454577316,64.73012751863833
181.9700858609983,-18.05746229794419,8.173843336413988,63.74306678940678
190.5460717963248,-18.03735920710933,8.490360192366623,62.70834875265344
199.5262314968879,-18.01899277494325,8.798896846400467,61.66593476073377
208.9296130854039,-18.00470523991717,9.105248211873839,60.60941086356499
218.7761623949552,-17.98639395748158,9.398804544200466,59.48990206110442
229.0867652767772,-17.97342682210984,9.692232041771952,58.36806270688567
239.883291901949,-17.96037116599276,9.974758960842447,57.22978528078063
251.1886431509579,-17.94743992930959,10.24866500085562,56.05247380276535
263.0267991895382,-17.93649868459687,10.51816547346563,54.87312451422015
275.4228703338166,-17.92692020313747,10.77930118265703,53.6662554346363
288.4031503126606,-17.91820626748558,11.0321889265359,52.44437012577191
301.9951720402016,-17.90770967466299,11.27526235081302,51.19104422818346
316.227766016838,-17.89946906362183,11.51078941046867,49.95668350722855
331.1311214825911,-17.89430275208703,11.73904758113399,48.70410959414357
346.7368504525317,-17.88448200223419,11.95521248176419,47.42557333519858
363.0780547701014,-17.88018030854938,12.16695510472365,46.15085238782908
380.1893963205612,-17.87451821935673,12.36713955476723,44.88724994844096
398.1071705534973,-17.86964348180677,12.5603560882986,43.61855493057493
416.8693834703355,-17.86507789196197,12.74405401558785,42.33827715897144
436.5158322401661,-17.86278161662907,12.92064235660229,41.07211158377321
457.0881896148752,-17.85745400441777,13.08556432387007,39.82334240824909
478.6300923226385,-17.85058820402002,13.24046491472618,38.57147310658021
501.1872336272725,-17.8486548359508,13.39297355383416,37.34286666620308
524.8074602497722,-17.84630133938212,13.5335810964308,36.0975378921363
549.5408738576248,-17.84148890927084,13.66342270944269,34.90460913672382
575.4399373371566,-17.83810752232439,13.78746666860337,33.72134254942976
602.5595860743581,-17.83808825146164,13.91293200414673,32.55781526637938
630.957344480193,-17.83525520457423,14.02125959586844,31.40968346246652
660.6934480075957,-17.83355816813645,14.12591478249609,30.28981051753427
691.8309709189363,-17.8330990490298,14.21988339214014,29.18163277309239
724.4359600749898,-17.83005849215053,14.31385514661819,28.11142511712282
758.5775750291837,-17.82857464657492,14.39451765912587,27.05186649057838
794.3282347242813,-17.82733303165175,14.4752190432919,26.05376437110085
831.7637711026708,-17.82649819603895,14.5498782417619,25.05588917390037
870.9635899560805,-17.82628465651997,14.62101299881464,24.09194617133484
912.0108393559096,-17.823862046159,14.67781548542879,23.13818549889851
954.992586021436,-17.82323388628495,14.74708293090666,22.24196923614207
1000,-17.82245873230679,14.79235891966368,21.36069730279939
1047.1285480509,-17.82294099149897,14.8502161068524,20.50859076885573
1096.478196143185,-17.82450014072703,14.90650223953118,19.67012703958071
1148.153621496883,-17.8216125037972,14.93594199105825,18.87116633632189
1202.264434617413,-17.82158803033426,14.98655998670141,18.10021336536084
1258.925411794168,-17.82063895758204,15.02273193170257,17.35143183609844
1318.256738556408,-17.82246356835362,15.0586351404194,16.63858325487625
1380.384264602884,-17.82124179099353,15.07831434160585,15.9329613599207
1445.439770745928,-17.8245181892797,15.11957111870045,15.26744730409114
1513.561248436207,-17.82428443230755,15.15215345359773,14.63796504853282
1584.893192461114,-17.82296939007933,15.17482370164352,14.03160511797621
1659.58690743756,-17.82594329295088,15.19222676766972,13.42446530125845
1737.800828749376,-17.82866725711926,15.22317789825843,12.86043430013243
1819.700858609983,-17.82743584287979,15.23977889394999,12.27826576523533
1905.460717963248,-17.82937059189498,15.24495778786599,11.74927067140733
1995.262314968879,-17.82986791964174,15.26804189309303,11.24830030621976
2089.296130854041,-17.8330127262741,15.29568549898548,10.77077052439085
2187.761623949552,-17.83228726037538,15.30096638454666,10.29807209581472
2290.867652767774,-17.83531400230719,15.3070209590043,9.837028492570596
2398.83291901949,-17.84035829099684,15.33854479757796,9.405771457764601
2511.886431509579,-17.83975753609699,15.34706623102339,8.988904953341233
2630.267991895381,-17.84282988751724,15.365209864079,8.590187494052913
2754.228703338166,-17.84445787594794,15.35622480870677,8.199307669716276
2884.031503126605,-17.84711931374404,15.36535406120216,7.81667133382436
3019.951720402016,-17.85330617959959,15.37813577132534,7.453089273709054
3162.277660168379,-17.85599846951647,15.4016402707463,7.129177808027361
3311.311214825911,-17.85666729892977,15.4074629684999,6.776293692102342
