,level_0,index,Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
120,172,262,37325.01577957208,0.8205869439988479,6439.03239007059
121,174,265,38904.514499428085,-2.898927012844172,6473.223484071004
122,175,267,39994.47497610978,-1.7647747008056298,6380.756603043107
123,176,268,40550.853544838414,-0.6448724865175826,6541.4792155005325
124,178,272,42854.852039743986,-1.9547329144332632,6448.920691217455
125,180,276,45289.75799036211,-7.30121226593363,5522.4277438323425
126,181,278,46558.60935229593,-3.253580285515175,6201.1952912850475
127,183,281,48528.85001621215,-0.9151891462263448,6452.981594384551
128,184,282,49203.95356814509,-3.0941477374484436,6282.22725794079
129,186,285,51286.138399136486,-1.380321342774707,6534.786683822382
130,188,289,54200.089040162384,5.127152231496126,6452.870542133588
131,189,290,54954.087385762454,-4.373498694808802,6253.407120711093
132,191,293,57279.60309858293,-1.316902630507142,6287.309156715932
133,192,295,58884.3655355589,-2.6799620949518834,6366.237186531738
134,193,296,59703.52865838369,-1.9147739497568592,6657.669158965306
135,194,297,60534.08747539137,1.637411304920144,6805.281767620889
136,196,300,63095.73444801933,2.022233597237094,6170.415918926032
137,197,301,63973.48354826483,-20.54995613371993,3671.2698974016103
138,199,304,66680.67692136223,-26.521109293903237,5533.834220146759
139,200,305,67608.29753919819,-4.792173335739639,6249.343558929738
140,202,309,71449.63260755134,-0.4720110606464988,6507.551976398788
141,203,310,72443.59600749903,-0.1718525410506191,6425.436936857814
142,205,313,75509.22276654343,-1.55127972548649,6525.725991963839
143,206,314,76559.66069112565,-0.9802490108560936,6422.720370497964
144,208,318,80909.58991783825,-6.940357321195426,6409.722442465418
145,209,319,82035.15443298187,-2.317046522398364,6124.268894373577
146,211,322,85506.67128846838,1.531154967024048,6407.50982014458
147,213,325,89125.0938133746,3.1653983690245266,6443.963595765849
148,214,326,90364.94737223018,-8.444733976183366,6363.023999621974
149,215,327,91622.04901220002,-9.246307467674733,6280.171805407889
150,216,328,92896.63867799367,-7.9831419457175405,5776.694081348221
151,218,331,96827.78562612495,-1.7910937282749757,6019.887260263708
152,219,332,98174.7943019985,-1.780938276663905,6435.644239627856
153,221,335,102329.29922807551,2.7745910943300487,6077.61822053249
154,222,336,103752.8415818013,-6.224678888123089,6045.41094698052
155,223,337,105196.1873823224,-2.439787207898816,6183.945048966162
156,224,338,106659.6121230258,1.632556888367326,6373.711974372806
157,226,341,111173.1727281592,-7.88572993364404,6266.662683474922
158,227,343,114287.8334789772,-7.451316160871731,6098.113531538038
159,228,344,115877.7356155126,-3.4551280407344707,5863.986623145825
160,230,347,120781.383510678,-0.1730597491954424,6537.942915303963
161,231,348,122461.6199265049,-8.818860474619083,6040.973195119958
162,233,351,127643.88088113439,-0.169429094695821,6640.930593886441
163,234,352,129419.58414499859,-3.738914757943681,6316.872338453113
164,235,353,131219.9899019203,-5.903375158251222,6062.4166693513525
165,237,356,136772.8825595849,-5.629632529066662,6085.647905439529
166,238,357,138675.5828871889,-3.4073095246029514,6500.941734090899
167,239,358,140604.7524129914,-2.484808988136207,6581.016191367801
168,241,361,146554.7840955912,-5.209986499762215,6399.494350107337
169,243,365,154881.6618912482,-1.258478245828873,6287.438859702158
170,244,366,157036.2804333553,-4.3038408911924035,6285.008248236241
171,245,367,159220.87270511698,-4.0729181572002435,6279.330617573793
172,246,369,163681.6521427809,-2.133193639803908,6257.729833810058
173,247,370,165958.6907437561,-11.27744196235384,6162.677896534373
174,248,371,168267.4061070468,-5.052140050747976,6176.7331863992395
175,249,372,170608.2389003124,-5.437293580890817,6402.564282187345
176,251,375,177827.9410038923,-5.74039211078016,6224.530855755203
177,252,377,182810.0216142743,-4.339841000429868,6346.349837089231
178,254,381,193196.8317016925,-14.36376810165079,5853.796981158586
179,256,384,201372.4249862389,-4.790964143293186,6270.686398102314
180,257,385,204173.794466953,-10.566969914795491,5935.074871283827
181,258,386,207014.1348791043,-14.37754853985863,5729.9939009508425
182,259,387,209893.9883623525,-16.65561118095977,5767.717415496958
183,261,390,218776.16239495532,-7.798866941892594,6209.134969647694
184,263,393,228034.2072000419,-1.967744702112069,6601.825256274182
185,264,394,231206.4790175596,-17.081167214779143,5769.550344705208
186,265,395,234422.88153199232,-5.383905668550184,6068.952821912968
187,266,396,237684.0286624878,-11.956804712040038,6088.310117161134
188,267,398,244343.0552693973,-6.425486768094232,6292.7970223658285
189,269,401,254683.02525850423,-17.46282407005214,5621.727289581881
190,270,402,258226.0190634598,-3.78906970862639,6210.3638519532315
191,271,403,261818.3008218987,-5.401089238474075,6441.855886628082
192,273,406,272897.7782808042,-1.8927733934980402,6543.34039086183
193,274,407,276694.1645411511,-5.112698758568119,6372.265206767221
194,275,408,280543.3637951713,-6.5796198028419415,6188.795047693037
195,276,409,284446.1107447915,-9.753449771236422,5837.68457293593
196,278,412,296483.13895243424,-1.7909089596014092,5716.373921103486
197,280,415,309029.5432513591,-8.352422967396045,6222.777939389181
198,282,418,322106.8791283434,-18.556949751624032,5664.842964254361
199,284,421,335737.6142429546,-5.804097346858461,6537.1150049347825
200,285,423,345143.7393358562,-28.72631814028081,5307.949611754906
201,286,424,349945.16702835733,-4.312969674081475,5899.989580461281
202,288,427,364753.9469256078,-14.42138352307822,6051.820512223467
203,289,428,369828.1797802662,-9.570272747781976,5798.041325481353
204,291,431,385478.3576657718,-7.192291347244339,5458.096466848944
205,292,432,390840.89579240204,-2.479669983341894,5711.234544671548
206,293,433,396278.03425543953,-11.279436206123052,5781.101080055631
207,295,437,418793.5651179184,-2.175658453154534,6099.441127037636
208,296,438,424619.5639463129,-13.6423944133304,5890.031187037724
209,297,439,430526.6104917107,-13.618920348741641,6660.134386800697
210,299,442,448745.38993313216,-10.721210789260331,6628.514184570218
211,300,443,454988.0601500487,-18.010847706077033,5536.338930729657
212,301,444,461317.57456037955,-10.12471468559361,5702.846498676237
213,303,447,480839.34844972857,-11.71443555289752,6409.245874660151
214,304,449,494310.6869868356,-2.476741536205226,6306.285389875335
215,305,450,501187.2336272725,7.059804489556197,5752.228254254861
216,306,452,515228.64458175673,-15.10315300399847,5423.1028613853605
217,308,455,537031.7963702529,-30.90700836190672,4923.899013180132
218,310,458,559757.6014951103,-4.358707762606687,5346.917034898941
219,311,460,575439.9373371572,-12.57117043409519,5080.0261393198325
