Freq.	V(vout)/V(vin)
1.04954242865233e+002	(-2.67792712377968e+000dB,4.64940004148260e+001°)
1.05075145486555e+002	(-2.67431119322416e+000dB,4.64496670712979e+001°)
1.05196187382323e+002	(-2.67070122840945e+000dB,4.64053609838875e+001°)
1.05317368712972e+002	(-2.66709722306588e+000dB,4.63610821704265e+001°)
1.05438689639126e+002	(-2.66349917091391e+000dB,4.63168306486115e+001°)
1.05560150321593e+002	(-2.65990706567083e+000dB,4.62726064360751e+001°)
1.05681750921366e+002	(-2.65632090104931e+000dB,4.62284095503712e+001°)
1.05803491599623e+002	(-2.65274067076384e+000dB,4.61842400090372e+001°)
1.05925372517729e+002	(-2.64916636851847e+000dB,4.61400978294711e+001°)
1.06047393837234e+002	(-2.64559798801841e+000dB,4.60959830290479e+001°)
1.06169555719873e+002	(-2.64203552295767e+000dB,4.60518956249971e+001°)
1.06291858327569e+002	(-2.63847896703948e+000dB,4.60078356346037e+001°)
1.06414301822432e+002	(-2.63492831394691e+000dB,4.59638030749158e+001°)
1.06536886366757e+002	(-2.63138355737248e+000dB,4.59197979630387e+001°)
1.06659612123026e+002	(-2.62784469100091e+000dB,4.58758203159653e+001°)
1.06782479253910e+002	(-2.62431170850814e+000dB,4.58318701505621e+001°)
1.06905487922266e+002	(-2.62078460357931e+000dB,4.57879474837539e+001°)
1.07028638291139e+002	(-2.61726336987834e+000dB,4.57440523322101e+001°)
1.07151930523761e+002	(-2.61374800108219e+000dB,4.57001847126978e+001°)
1.07275364783553e+002	(-2.61023849085189e+000dB,4.56563446417841e+001°)
1.07398941234125e+002	(-2.60673483285588e+000dB,4.56125321360737e+001°)
1.07522660039273e+002	(-2.60323702075062e+000dB,4.55687472120109e+001°)
1.07646521362984e+002	(-2.59974504819058e+000dB,4.55249898859799e+001°)
1.07770525369433e+002	(-2.59625890883002e+000dB,4.54812601743278e+001°)
1.07894672222983e+002	(-2.59277859631807e+000dB,4.54375580933051e+001°)
1.08018962088190e+002	(-2.58930410430224e+000dB,4.53938836591112e+001°)
1.08143395129794e+002	(-2.58583542642423e+000dB,4.53502368878426e+001°)
1.08267971512730e+002	(-2.58237255632244e+000dB,4.53066177955236e+001°)
1.08392691402121e+002	(-2.57891548763152e+000dB,4.52630263980997e+001°)
1.08517554963279e+002	(-2.57546421398767e+000dB,4.52194627114913e+001°)
1.08642562361707e+002	(-2.57201872902129e+000dB,4.51759267515182e+001°)
