Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
28707.80582024692,-1.555201611509995,6502.789580320792
29107.17118066607,-0.9008517605142227,6595.84845526219
29512.09226666387,-0.5677480643985564,6621.121605706689
29922.64636608191,-0.701941678592933,6476.913180697498
30338.91184194272,-0.5534814575262865,6420.451186320448
30760.9681474071,-1.679014319092804,6525.773901484775
31188.89584093939,-0.7316771298614603,6635.935108997457
31622.77660168381,-0.1401438012228475,6608.749244487434
32062.69324505467,-0.788899245146177,6487.562719826949
32508.72973854345,-1.783795929478864,6449.240276281821
32960.97121774579,-1.501588174700012,6564.019398682518
33419.50400261144,-2.809363503523381,6171.545192530909
33884.41561392028,-1.584388163029855,6605.616067478549
34355.79478998748,-0.724715502746217,6528.176794103217
34833.7315036012,-0.5973530237614434,6504.196527158426
35318.31697919572,-0.6251245830291376,6588.185961920202
35809.64371026362,-1.886447861796222,6434.08798514064
36307.80547701016,-0.9703512182210073,6492.153810515144
36812.89736425316,-1.256868746206916,6576.469848422082
37325.01577957208,0.8205869439988479,6439.03239007059
37844.25847170936,-0.1270234542182515,6565.234775847671
38370.7245492279,-2.097403850648457,6608.062371527129
38904.51449942809,-2.898927012844172,6473.223484071005
39445.73020752787,-1.535945434302473,6505.708407304075
39994.47497610978,-1.76477470080563,6380.756603043107
40550.85354483841,-0.6448724865175826,6541.479215500532
41114.97211045225,-0.66482657464677,6663.533750039211
41686.93834703357,-0.2350090648864441,6623.149490529734
42266.86142656033,-0.4665825384450759,6671.188874212771
42854.85203974399,-1.954732914433263,6448.920691217455
43451.02241715719,-1.602025750951519,6607.892885857461
44055.48635065537,-1.212773617367745,6565.176479481707
44668.35921509634,0.4487836881929297,6649.816364383652
45289.75799036211,-7.30121226593363,5522.427743832343
45919.80128368689,0.9986016063186824,6750.453622863811
46558.60935229593,-3.253580285515175,6201.195291285048
47206.30412635909,-1.695545293996216,6968.413972464587
47863.00923226388,-1.479440321331521,6585.692184213204
48528.85001621215,-0.9151891462263448,6452.981594384551
49203.95356814509,-3.094147737448444,6282.22725794079
49888.44874600122,-8.602452391777007,7189.69079350801
50582.4662003114,-1.561823324466785,6562.853665698705
51286.13839913649,-1.380321342774707,6534.786683822382
51999.59965335159,5.052833768020614,6728.283265497939
52722.98614228227,-1.438700120783104,6577.382650464367
53456.43593969716,-17.96526118220453,8651.427029209059
54200.08904016238,5.127152231496126,6452.870542133588
54954.08738576245,-4.373498694808802,6253.407120711093
55718.57489319298,3.520479590489551,6867.963526559084
56493.69748123025,2.097853214324771,6946.65963829238
57279.60309858293,-1.316902630507142,6287.309156715932
58076.44175213121,3.862696411971476,6757.127295886688
58884.3655355589,-2.679962094951883,6366.237186531738
59703.52865838369,-1.914773949756859,6657.669158965306
60534.08747539136,1.637411304920144,6805.281767620889
61376.20051647942,1.041273852942864,7046.699385442076
62230.02851691595,1.74664458977614,6977.94666859744
63095.73444801933,2.022233597237094,6170.415918926032
63973.48354826482,-20.54995613371993,3671.26989740161
64863.44335482384,3.983959320212246,6925.989232593637
65765.78373554205,1.90812792005628,5690.573512423391
66680.67692136222,-26.52110929390324,5533.834220146759
67608.29753919819,-4.792173335739639,6249.343558929737
68548.82264526616,-11.96736786520018,11418.76081404129
69502.4317588797,-1.410204725109092,6534.613994538449
70469.30689671471,-1.459950035427977,6537.983498287712
71449.63260755134,-0.4720110606464988,6507.551976398788
72443.59600749903,-0.1718525410506191,6425.436936857814
73451.38681571151,0.2921182553407549,6578.684637766198
74473.19739059891,-2.67354982243512,6602.084083707376
75509.22276654342,-1.55127972548649,6525.725991963839
76559.66069112565,-0.9802490108560937,6422.720370497964
77624.71166286919,-0.7565633112588661,6627.401692804446
78704.57896950988,-1.095540368699383,6489.722811345052
79799.46872679768,-1.675901313296676,6624.223747863735
80909.58991783825,-6.940357321195426,6409.722442465418
82035.15443298186,-2.317046522398364,6124.268894373577
83176.37711026713,0.06000786801211961,7141.980978184531
84333.47577642757,1.378198618670647,6545.1010559882
85506.67128846837,1.531154967024048,6407.50982014458
86696.18757582171,0.8392101043155773,6687.147600228022
87902.25168308846,-3.056621744418474,6612.573226975791
89125.09381337459,3.165398369024526,6443.96359576585
90364.94737223018,-8.444733976183365,6363.023999621974
91622.04901220002,-9.246307467674733,6280.171805407889
92896.63867799367,-7.983141945717541,5776.69408134822
94188.95965228417,-2.028932674894473,6445.642480184397
95499.25860214364,-9.088001426535092,6720.992379818445
96827.78562612495,-1.791093728274976,6019.887260263708
98174.7943019985,-1.780938276663905,6435.644239627857
99540.54173515274,-1.512760895394863,7100.992310530838
100925.2886076685,-2.470215727912897,6914.403605168941
102329.2992280755,2.774591094330049,6077.61822053249
103752.8415818013,-6.224678888123089,6045.41094698052
105196.1873823224,-2.439787207898816,6183.945048966162
106659.6121230258,1.632556888367326,6373.711974372806
108143.3951297939,-4.232289375612008,6568.936645380753
