Freq.	V(vout)/I(I1)
1.15212605982582e+003	(7.46619351120732e+001dB,3.18143624273281e+001°)
1.15345325782110e+003	(7.46647136156771e+001dB,3.17848016221353e+001°)
1.15478198468947e+003	(7.46674875015181e+001dB,3.17552559282953e+001°)
1.15611224219211e+003	(7.46702567743274e+001dB,3.17257253694170e+001°)
1.15744403209225e+003	(7.46730214388418e+001dB,3.16962099690331e+001°)
1.15877735615514e+003	(7.46757814998022e+001dB,3.16667097505996e+001°)
1.16011221614806e+003	(7.46785369619555e+001dB,3.16372247374960e+001°)
1.16144861384035e+003	(7.46812878300525e+001dB,3.16077549530252e+001°)
1.16278655100336e+003	(7.46840341088488e+001dB,3.15783004204138e+001°)
1.16412602941050e+003	(7.46867758031055e+001dB,3.15488611628115e+001°)
1.16546705083721e+003	(7.46895129175876e+001dB,3.15194372032914e+001°)
1.16680961706097e+003	(7.46922454570654e+001dB,3.14900285648503e+001°)
1.16815372986133e+003	(7.46949734263137e+001dB,3.14606352704082e+001°)
1.16949939101988e+003	(7.46976968301116e+001dB,3.14312573428083e+001°)
1.17084660232025e+003	(7.47004156732434e+001dB,3.14018948048174e+001°)
1.17219536554814e+003	(7.47031299604973e+001dB,3.13725476791256e+001°)
1.17354568249130e+003	(7.47058396966666e+001dB,3.13432159883461e+001°)
1.17489755493954e+003	(7.47085448865484e+001dB,3.13138997550157e+001°)
1.17625098468473e+003	(7.47112455349452e+001dB,3.12845990015944e+001°)
1.17760597352082e+003	(7.47139416466631e+001dB,3.12553137504654e+001°)
1.17896252324380e+003	(7.47166332265129e+001dB,3.12260440239353e+001°)
1.18032063565174e+003	(7.47193202793096e+001dB,3.11967898442340e+001°)
1.18168031254479e+003	(7.47220028098726e+001dB,3.11675512335146e+001°)
1.18304155572518e+003	(7.47246808230260e+001dB,3.11383282138536e+001°)
1.18440436699718e+003	(7.47273543235974e+001dB,3.11091208072505e+001°)
1.18576874816717e+003	(7.47300233164191e+001dB,3.10799290356284e+001°)
1.18713470104361e+003	(7.47326878063271e+001dB,3.10507529208334e+001°)
1.18850222743703e+003	(7.47353477981623e+001dB,3.10215924846349e+001°)
1.18987132916005e+003	(7.47380032967691e+001dB,3.09924477487258e+001°)
1.19124200802739e+003	(7.47406543069961e+001dB,3.09633187347220e+001°)
1.19261426585583e+003	(7.47433008336959e+001dB,3.09342054641626e+001°)
1.19398810446428e+003	(7.47459428817255e+001dB,3.09051079585101e+001°)
1.19536352567373e+003	(7.47485804559450e+001dB,3.08760262391504e+001°)
1.19674053130726e+003	(7.47512135612193e+001dB,3.08469603273922e+001°)
1.19811912319005e+003	(7.47538422024170e+001dB,3.08179102444680e+001°)
1.19949930314939e+003	(7.47564663844103e+001dB,3.07888760115332e+001°)
1.20088107301468e+003	(7.47590861120754e+001dB,3.07598576496666e+001°)
1.20226443461743e+003	(7.47617013902918e+001dB,3.07308551798702e+001°)
1.20364938979123e+003	(7.47643122239439e+001dB,3.07018686230694e+001°)
1.20503594037181e+003	(7.47669186179189e+001dB,3.06728980001128e+001°)
1.20642408819701e+003	(7.47695205771079e+001dB,3.06439433317723e+001°)
1.20781383510679e+003	(7.47721181064056e+001dB,3.06150046387431e+001°)
1.20920518294322e+003	(7.47747112107104e+001dB,3.05860819416437e+001°)
1.21059813355050e+003	(7.47772998949245e+001dB,3.05571752610160e+001°)
1.21199268877494e+003	(7.47798841639535e+001dB,3.05282846173252e+001°)
1.21338885046499e+003	(7.47824640227063e+001dB,3.04994100309597e+001°)
1.21478662047124e+003	(7.47850394760957e+001dB,3.04705515222314e+001°)
1.21618600064638e+003	(7.47876105290373e+001dB,3.04417091113754e+001°)
1.21758699284527e+003	(7.47901771864510e+001dB,3.04128828185505e+001°)
1.21898959892488e+003	(7.47927394532597e+001dB,3.03840726638387e+001°)
1.22039382074433e+003	(7.47952973343890e+001dB,3.03552786672452e+001°)
1.22179966016488e+003	(7.47978508347691e+001dB,3.03265008486990e+001°)
1.22320711904994e+003	(7.48003999593325e+001dB,3.02977392280522e+001°)
1.22461619926506e+003	(7.48029447130152e+001dB,3.02689938250806e+001°)
1.22602690267794e+003	(7.48054851007565e+001dB,3.02402646594833e+001°)
1.22743923115842e+003	(7.48080211274990e+001dB,3.02115517508830e+001°)
1.22885318657852e+003	(7.48105527981883e+001dB,3.01828551188258e+001°)
1.23026877081240e+003	(7.48130801177730e+001dB,3.01541747827815e+001°)
1.23168598573637e+003	(7.48156030912049e+001dB,3.01255107621432e+001°)
1.23310483322892e+003	(7.48181217234394e+001dB,3.00968630762279e+001°)
1.23452531517070e+003	(7.48206360194334e+001dB,3.00682317442758e+001°)
1.23594743344452e+003	(7.48231459841488e+001dB,3.00396167854509e+001°)
1.23737118993537e+003	(7.48256516225488e+001dB,3.00110182188410e+001°)
1.23879658653038e+003	(7.48281529396005e+001dB,2.99824360634572e+001°)
1.24022362511890e+003	(7.48306499402734e+001dB,2.99538703382346e+001°)
1.24165230759243e+003	(7.48331426295401e+001dB,2.99253210620318e+001°)
1.24308263584464e+003	(7.48356310123757e+001dB,2.98967882536313e+001°)
1.24451461177140e+003	(7.48381150937586e+001dB,2.98682719317391e+001°)
1.24594823727076e+003	(7.48405948786694e+001dB,2.98397721149852e+001°)
1.24738351424296e+003	(7.48430703720919e+001dB,2.98112888219234e+001°)
1.24882044459041e+003	(7.48455415790123e+001dB,2.97828220710313e+001°)
1.25025903021774e+003	(7.48480085044196e+001dB,2.97543718807103e+001°)
1.25169927303174e+003	(7.48504711533054e+001dB,2.97259382692858e+001°)
