Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
100,0.00209804233435907,-46.18102838200717,167.0586913359092
101.8591388054117,0.002294706427421664,-45.88597417399505,166.8558768600637
103.7528415818013,0.002088832139777603,-45.53906396229331,166.9560082195167
105.6817509213658,0.002262381910806697,-45.20928614253795,166.5147393497704
107.6465213629835,0.002362208582085672,-44.92961828715508,166.2104536586793
109.6478196143185,0.002314276057935607,-44.65767151097843,166.1242260187907
111.6863247780561,0.002233312114770784,-44.30374213091113,165.7934677832469
113.7627285823431,0.002180458557953279,-43.99383985247285,165.6180804643604
115.8777356155126,0.002384053122344092,-43.67978799823607,165.3957630502352
118.032063565173,0.002284112740739704,-43.36950762981356,165.1858252690154
120.2264434617413,0.002255071036971008,-43.07778580330078,164.9127502089337
122.4616199265049,0.002074525030834369,-42.71784420148606,164.8284698634787
124.7383514242943,0.002083627240327033,-42.4286816810878,164.278099555112
127.0574105208542,0.001870941935874026,-42.13559170525875,164.0160972570028
129.4195841449986,0.001877991971136641,-41.7938581068567,163.8655347718306
131.8256738556407,0.00230547921550053,-41.4737702841491,163.604756356653
134.2764961137864,0.001600168327163969,-41.16278236916922,163.501029758353
136.7728825595849,0.001888183546650867,-40.89170901805436,163.1335252036176
139.3156802945304,0.001755087516749303,-40.57061815471926,162.8638807124142
141.9057521689093,0.002065651699599963,-40.22794583620296,162.6756793921094
144.5439770745928,0.002091326698577671,-39.91115559744153,162.1512925608806
147.2312502432719,0.002328280037487761,-39.63163732069987,161.8119856422571
149.9684835502374,0.00204214773139714,-39.29972086436688,161.5069730257354
152.7566058238073,0.001770516021905947,-38.9881086285666,161.2767279730795
155.5965631605075,0.001627798533772524,-38.70056050555384,161.0761817203411
158.4893192461114,0.002325264382269785,-38.40053897355255,160.7782775942404
161.4358556826487,0.001914786802104179,-38.08257878862813,160.3459535857367
164.4371723214932,0.001966034491084397,-37.77901054089551,160.0640241371676
167.4942876026438,0.002061801621557285,-37.48100935070377,159.7396916938221
170.6082389003124,0.001838051099214293,-37.14030931565254,159.4137805330919
173.7800828749376,0.001916859215400098,-36.82857512928935,159.0663275288917
177.0108958317422,0.002007028437935634,-36.52621015664635,158.6545426819493
180.301774085957,0.001880609337226502,-36.21860382988977,158.2654905653232
183.6538343348347,0.00191660420477384,-35.91097710846751,158.0192763276257
187.0682140365801,0.001930545288734225,-35.60896420975825,157.5478075341654
190.5460717963248,0.001624824710590558,-35.29544689410519,157.2561971061262
194.0885877592777,0.002246489949825847,-35.01458443747803,156.7496556886088
197.696964011186,0.001826389477169624,-34.68258251680422,156.4878174553041
201.3724249862388,0.0017359858705866,-34.38351694278872,156.0179153505032
205.1162178825565,0.001698384570709295,-34.08801388469342,155.6006601226001
208.9296130854039,0.002530111578865867,-33.77564427561258,155.1612746692979
212.8139045982711,0.001884303874775181,-33.49564048942562,154.812564519173
216.7704104819694,0.002069792729426148,-33.18512189780763,154.4308276766869
220.8004733018899,0.001836541974952775,-32.87889843550342,153.9260878768828
224.905460583578,0.001913910444737654,-32.57043213085736,153.5312287868206
229.0867652767772,0.001185812753317482,-32.26497809595669,153.08479827599
233.3458062281002,0.001459392645051268,-31.97446140374659,152.5788451371938
237.6840286624876,0.001925065804018069,-31.66180127047692,152.174839691511
242.1029046736178,0.001898837329168714,-31.36066997347951,151.6743169987192
246.6039337234339,0.001289732564245008,-31.06529494619134,151.1687632335749
251.1886431509579,0.001735707433577411,-30.76500743904411,150.6789730630699
255.8585886905645,0.001763582894838151,-30.46785705137434,150.2253563071742
260.6153549998895,0.001750861031297234,-30.17855666332452,149.7590107019203
265.4605561975539,0.001585771860901504,-29.87532510436988,149.2339160054817
270.3958364108843,0.001812051374686739,-29.57871968152185,148.7070183457922
275.4228703338166,0.001457355857003315,-29.28939869197637,148.1936330342101
280.5433637951713,0.001628092356160684,-28.99170626661849,147.6558734984298
285.7590543374947,0.001525454524217109,-28.69908811042063,147.1581301565402
291.0717118066605,0.001555373022656677,-28.40311453470875,146.5886252957775
296.4831389524343,0.001820054505826133,-28.11016541614557,146.0273237125709
301.9951720402016,0.001677170188152328,-27.81695154885048,145.4945341484929
307.6096814740708,0.001428553738055618,-27.53192880934474,144.8933123777358
313.3285724315585,0.001369109503501262,-27.24018453200976,144.3729474156328
319.1537855100761,0.001546297245229823,-26.95326587657243,143.7477239524605
325.0872973854343,0.00113903955523545,-26.65805915616036,143.1640198857295
331.1311214825911,0.0013521940739508,-26.3767936599405,142.5368978242981
337.2873086588689,0.001032946251305523,-26.0855879531377,141.9271177238763
343.5579478998746,0.001154589312796734,-25.80471761142603,141.3100906989472
349.9451670283573,0.001496727701981466,-25.5260248913049,140.6767287239942
356.4511334262443,0.001138912168048936,-25.23959877319036,140.0602213945079
363.0780547701014,0.001393323966294141,-24.95813127580847,139.3967457930158
369.8281797802662,0.001109020956530399,-24.68193987892737,138.7234638372541
376.7037989839089,0.001596730408333876,-24.40404983547135,138.054490976566
383.7072454922788,0.001205731177411442,-24.12660110350522,137.3986022347913
390.8408957924021,0.0010361434816737,-23.84940827217424,136.7227084964127
398.1071705534973,0.001009967104989998,-23.57934229409801,136.0407984911982
405.508535448384,0.001439240682756181,-23.30459825546288,135.3380489099969
413.0475019901614,0.001021204262425858,-23.03248933265535,134.6275812514739
420.7266283844442,0.0007251392254205415,-22.76163392074756,133.9211068221081
428.5485203974397,0.0009033834687448972,-22.49459310979261,133.1881876779941
436.5158322401661,0.000988116735488467,-22.22754335123323,132.43269615313
444.6312674691088,0.0006303059648859141,-21.95994559049002,131.7194664893164
452.8975799036209,0.0007666336982895751,-21.69443533609827,130.9592421834918
461.3175745603796,0.00040022412003196,-21.43196667875227,130.1876011424846
469.8941086052156,0.0004854534331548552,-21.17222798468408,129.4334347155691
478.6300923226385,0.001418323537304044,-20.91136283960125,128.6459004787976
487.528490103386,0.0002131389716881314,-20.65103233021501,127.8595947330932
496.5923214503358,0.0009083557072620423,-20.39516224726225,127.0736153209004
505.8246620031138,0.0007742318725285153,-20.1412052769938,126.2594639956035
515.2286445817562,0.0004859196011375225,-19.88937117852081,125.4676858709041
524.8074602497722,0.000198658966561075,-19.63932201362034,124.6507199796418
534.5643593969713,6.628940998785567e-05,-19.39428580427906,123.823910708215
544.5026528424208,-0.0001044959456142906,-19.14612301091715,122.9774246883139
554.6257129579104,4.448289866995487e-05,-18.90191649274395,122.1354713784514
564.9369748123022,-0.0001694055402848065,-18.65896220868131,121.2951196820186
575.4399373371566,0.0004591103827957576,-18.41861414958436,120.4383298492224
586.1381645140284,0.0003326455635781931,-18.18197059660837,119.5502938502699
597.0352865838366,-3.185407050064448e-05,-17.94579963504792,118.6928140409535
608.1350012787176,0.0001406914863798184,-17.71055517155723,117.8266407146617
619.4410750767811,-0.0005528071445109269,-17.47753008350352,116.932424385433
630.957344480193,-0.0002216136736541599,-17.24766155588514,116.0498808232756
642.6877173170194,-0.0001895971552304602,-17.01952051037065,115.1505973939799
654.6361740672747,8.869449945383575e-06,-16.79411837929313,114.2336894872964
666.8067692136219,-0.0003233217394622845,-16.57088467997191,113.3256079863252
679.2036326171843,-0.0007196476320046972,-16.3529606048016,112.4056172908052
691.8309709189363,-0.00100319842281773,-16.13244188723517,111.4842271903271
704.6930689671467,-0.000548533791570623,-15.91683419674205,110.5568801845079
717.7942912713615,-0.0006978846280645352,-15.7022493376971,109.6286836668064
731.1390834834173,-0.001022136214688695,-15.49292868892113,108.6927841969861
744.7319739059889,-0.001611213395115895,-15.28185491447279,107.7535908344217
758.5775750291837,-0.001473122022953548,-15.07687749803527,106.8052209573585
772.6805850957021,-0.001497912979357309,-14.87053214337283,105.8377291198245
787.0457896950985,-0.0007733245651603403,-14.67135974073351,104.8842296373314
801.678063387679,-0.0009552098568587875,-14.4716895202308,103.9228582425245
816.5823713585922,-0.001686171864461437,-14.27507356763339,102.9730252165253
831.7637711026708,-0.002073545541652282,-14.0802492706179,101.9918657278986
847.2274141405964,-0.001872270612318773,-13.89046458888726,101.0201283950316
862.9785477669701,-0.001778488069639631,-13.70346471969552,100.0484235597875
879.0225168308842,-0.001804564076922694,-13.51549820367107,99.06678737345976
895.3647655495937,-0.001671998336795196,-13.33187772129601,98.10052349622023
912.0108393559096,-0.002255453543367157,-13.15243463987677,97.10819835660737
928.9663867799362,-0.001945568449110402,-12.97341098349946,96.13084817864097
946.237161365793,-0.002204941508144775,-12.79674812800593,95.14301359661874
963.8290236239706,-0.002645143278638958,-12.62476548118052,94.15737938754854
981.7479430199844,-0.002538991082389158,-12.45482910256655,93.16562526700693
1000,-0.002569007468972176,-12.28736328592847,92.17900053001156
1018.591388054117,-0.002822994220422105,-12.12200792560407,91.19134300036967
1037.528415818013,-0.002379972246127847,-11.95905961858922,90.2018039735205
1056.817509213658,-0.003390230325271558,-11.80027430676724,89.21707172083178
1076.465213629835,-0.002964227582789649,-11.64457779050278,88.22122614064386
1096.478196143185,-0.00297636587421891,-11.48841246152747,87.24096680024856
1116.863247780561,-0.003581312189596041,-11.33674057099292,86.24749452067297
1137.627285823431,-0.003885361692148386,-11.18852451963838,85.25989200942468
1158.777356155126,-0.003625923217756308,-11.04177065104471,84.27406476188798
1180.32063565173,-0.004183178651933368,-10.8977303007271,83.29432485898265
1202.264434617413,-0.003552702816772564,-10.75539469906079,82.31772784484951
1224.616199265049,-0.004547748818343698,-10.61947374451553,81.33831889708104
1247.383514242943,-0.004059240795750165,-10.48300411993765,80.35391576463837
1270.574105208542,-0.004632252937379579,-10.35030414955471,79.38708312710091
1294.195841449986,-0.004775989397131074,-10.2179220475088,78.40895759221399
1318.256738556408,-0.00425196419533479,-10.08961700765351,77.45272162596308
1342.764961137864,-0.004514448045016486,-9.963938629735818,76.47511265465836
1367.728825595849,-0.004896936042619001,-9.841144716729415,75.51810605866234
1393.156802945304,-0.00494710351169419,-9.720594121515603,74.56128733750327
1419.057521689092,-0.00576049576282041,-9.601858875506519,73.61030636666896
1445.439770745928,-0.005857672820743999,-9.485984706686466,72.66227587341507
1472.312502432719,-0.005906091527088491,-9.373613696771594,71.72091167318706
1499.684835502374,-0.004918056403025731,-9.262930561615434,70.77695699365771
1527.566058238073,-0.006254894783048738,-9.155492015016941,69.84070843670342
1555.965631605075,-0.006189723749323969,-9.049580215453943,68.91883042732263
1584.893192461114,-0.00550361079780739,-8.946807431143668,67.99250646097441
1614.358556826487,-0.005905174832724538,-8.844294574364215,67.07188682389776
1644.371723214932,-0.006080043596067299,-8.74521491212314,66.1661947332596
1674.942876026438,-0.006589865710789049,-8.649618654758783,65.26206634301731
1706.082389003124,-0.005964385094817786,-8.555499221751026,64.36934857722407
1737.800828749376,-0.005647745616871896,-8.462891295701494,63.47722277980897
1770.108958317422,-0.007206520584777231,-8.371950913018924,62.59138231583194
1803.01774085957,-0.00693365740776688,-8.282983725023078,61.71180546414769
1836.538343348347,-0.006764012436693482,-8.197761805685159,60.83607799762881
1870.682140365802,-0.007472323262635313,-8.114682217261478,59.97244999485456
1905.460717963248,-0.006814665264828359,-8.03333067557579,59.11500898348395
1940.885877592779,-0.007497599150451313,-7.953529533708611,58.26659210320588
1976.969640111862,-0.007885243977044088,-7.87498180779968,57.42897080052842
2013.72424986239,-0.008191525166063637,-7.800644901108127,56.5837558095715
