Freq.	V(vout)/I(I1)
1.27203775008571e+002	(7.48845018239956e+001dB,2.93407033395887e+001°)
1.27350308101668e+002	(7.48869009259726e+001dB,2.93125333305888e+001°)
1.27497009994373e+002	(7.48892958316253e+001dB,2.92843801980802e+001°)
1.27643880881136e+002	(7.48916865459848e+001dB,2.92562439591166e+001°)
1.27790920956630e+002	(7.48940730740843e+001dB,2.92281246306761e+001°)
1.27938130415754e+002	(7.48964554209591e+001dB,2.92000222296618e+001°)
1.28085509453630e+002	(7.48988335916468e+001dB,2.91719367729012e+001°)
1.28233058265604e+002	(7.49012075911862e+001dB,2.91438682771464e+001°)
1.28380777047249e+002	(7.49035774246192e+001dB,2.91158167590746e+001°)
1.28528665994363e+002	(7.49059430969882e+001dB,2.90877822352872e+001°)
1.28676725302969e+002	(7.49083046133384e+001dB,2.90597647223110e+001°)
1.28824955169315e+002	(7.49106619787167e+001dB,2.90317642365973e+001°)
1.28973355789877e+002	(7.49130151981715e+001dB,2.90037807945225e+001°)
1.29121927361355e+002	(7.49153642767532e+001dB,2.89758144123878e+001°)
1.29270670080678e+002	(7.49177092195139e+001dB,2.89478651064196e+001°)
1.29419584145000e+002	(7.49200500315069e+001dB,2.89199328927691e+001°)
1.29568669751704e+002	(7.49223867177887e+001dB,2.88920177875129e+001°)
1.29717927098397e+002	(7.49247192834154e+001dB,2.88641198066526e+001°)
1.29867356382918e+002	(7.49270477334459e+001dB,2.88362389661149e+001°)
1.30016957803331e+002	(7.49293720729410e+001dB,2.88083752817519e+001°)
1.30166731557928e+002	(7.49316923069620e+001dB,2.87805287693409e+001°)
1.30316677845232e+002	(7.49340084405724e+001dB,2.87526994445847e+001°)
1.30466796863991e+002	(7.49363204788369e+001dB,2.87248873231113e+001°)
1.30617088813186e+002	(7.49386284268221e+001dB,2.86970924204745e+001°)
1.30767553892024e+002	(7.49409322895955e+001dB,2.86693147521531e+001°)
1.30918192299943e+002	(7.49432320722264e+001dB,2.86415543335519e+001°)
1.31069004236610e+002	(7.49455277797850e+001dB,2.86138111800012e+001°)
1.31219989901922e+002	(7.49478194173433e+001dB,2.85860853067569e+001°)
1.31371149496008e+002	(7.49501069899743e+001dB,2.85583767290006e+001°)
1.31522483219226e+002	(7.49523905027527e+001dB,2.85306854618399e+001°)
1.31673991272164e+002	(7.49546699607538e+001dB,2.85030115203079e+001°)
1.31825673855643e+002	(7.49569453690549e+001dB,2.84753549193641e+001°)
1.31977531170714e+002	(7.49592167327336e+001dB,2.84477156738933e+001°)
1.32129563418659e+002	(7.49614840568693e+001dB,2.84200937987070e+001°)
1.32281770800995e+002	(7.49637473465424e+001dB,2.83924893085422e+001°)
1.32434153519468e+002	(7.49660066068344e+001dB,2.83649022180624e+001°)
1.32586711776058e+002	(7.49682618428273e+001dB,2.83373325418571e+001°)
1.32739445772976e+002	(7.49705130596052e+001dB,2.83097802944422e+001°)
1.32892355712668e+002	(7.49727602622526e+001dB,2.82822454902598e+001°)
1.33045441797811e+002	(7.49750034558547e+001dB,2.82547281436785e+001°)
1.33198704231318e+002	(7.49772426454983e+001dB,2.82272282689931e+001°)
1.33352143216334e+002	(7.49794778362704e+001dB,2.81997458804250e+001°)
1.33505758956239e+002	(7.49817090332600e+001dB,2.81722809921225e+001°)
1.33659551654646e+002	(7.49839362415554e+001dB,2.81448336181601e+001°)
1.33813521515404e+002	(7.49861594662474e+001dB,2.81174037725390e+001°)
1.33967668742596e+002	(7.49883787124259e+001dB,2.80899914691875e+001°)
1.34121993540539e+002	(7.49905939851832e+001dB,2.80625967219604e+001°)
1.34276496113788e+002	(7.49928052896111e+001dB,2.80352195446395e+001°)
1.34431176667133e+002	(7.49950126308029e+001dB,2.80078599509336e+001°)
1.34586035405597e+002	(7.49972160138524e+001dB,2.79805179544784e+001°)
1.34741072534443e+002	(7.49994154438539e+001dB,2.79531935688368e+001°)
1.34896288259167e+002	(7.50016109259022e+001dB,2.79258868074988e+001°)
1.35051682785506e+002	(7.50038024650929e+001dB,2.78985976838816e+001°)
1.35207256319430e+002	(7.50059900665226e+001dB,2.78713262113298e+001°)
1.35363009067148e+002	(7.50081737352875e+001dB,2.78440724031152e+001°)
1.35518941235106e+002	(7.50103534764850e+001dB,2.78168362724373e+001°)
1.35675053029988e+002	(7.50125292952130e+001dB,2.77896178324227e+001°)
1.35831344658718e+002	(7.50147011965695e+001dB,2.77624170961259e+001°)
1.35987816328454e+002	(7.50168691856530e+001dB,2.77352340765290e+001°)
1.36144468246597e+002	(7.50190332675629e+001dB,2.77080687865415e+001°)
1.36301300620785e+002	(7.50211934473984e+001dB,2.76809212390013e+001°)
1.36458313658895e+002	(7.50233497302590e+001dB,2.76537914466735e+001°)
1.36615507569043e+002	(7.50255021212453e+001dB,2.76266794222515e+001°)
1.36772882559587e+002	(7.50276506254568e+001dB,2.75995851783567e+001°)
1.36930438839123e+002	(7.50297952479949e+001dB,2.75725087275384e+001°)
1.37088176616488e+002	(7.50319359939600e+001dB,2.75454500822743e+001°)
1.37246096100758e+002	(7.50340728684536e+001dB,2.75184092549702e+001°)
1.37404197501254e+002	(7.50362058765766e+001dB,2.74913862579602e+001°)
1.37562481027533e+002	(7.50383350234305e+001dB,2.74643811035067e+001°)
1.37720946889397e+002	(7.50404603141166e+001dB,2.74373938038007e+001°)
1.37879595296888e+002	(7.50425817537370e+001dB,2.74104243709617e+001°)
1.38038426460291e+002	(7.50446993473927e+001dB,2.73834728170378e+001°)
1.38197440590132e+002	(7.50468131001861e+001dB,2.73565391540057e+001°)
1.38356637897180e+002	(7.50489230172186e+001dB,2.73296233937711e+001°)
1.38516018592449e+002	(7.50510291035921e+001dB,2.73027255481683e+001°)
1.38675582887191e+002	(7.50531313644082e+001dB,2.72758456289607e+001°)
1.38835330992907e+002	(7.50552298047683e+001dB,2.72489836478407e+001°)
1.38995263121338e+002	(7.50573244297745e+001dB,2.72221396164295e+001°)
1.39155379484470e+002	(7.50594152445277e+001dB,2.71953135462779e+001°)
1.39315680294533e+002	(7.50615022541296e+001dB,2.71685054488657e+001°)
1.39476165764002e+002	(7.50635854636813e+001dB,2.71417153356020e+001°)
1.39636836105596e+002	(7.50656648782833e+001dB,2.71149432178255e+001°)
1.39797691532280e+002	(7.50677405030366e+001dB,2.70881891068042e+001°)
1.39958732257264e+002	(7.50698123430418e+001dB,2.70614530137358e+001°)
1.40119958494003e+002	(7.50718804033985e+001dB,2.70347349497476e+001°)
1.40281370456198e+002	(7.50739446892069e+001dB,2.70080349258966e+001°)
1.40442968357797e+002	(7.50760052055670e+001dB,2.69813529531699e+001°)
1.40604752412994e+002	(7.50780619575773e+001dB,2.69546890424840e+001°)
1.40766722836229e+002	(7.50801149503368e+001dB,2.69280432046860e+001°)
1.40928879842190e+002	(7.50821641889443e+001dB,2.69014154505526e+001°)
1.41091223645812e+002	(7.50842096784969e+001dB,2.68748057907908e+001°)
1.41253754462278e+002	(7.50862514240930e+001dB,2.68482142360381e+001°)
1.41416472507018e+002	(7.50882894308291e+001dB,2.68216407968619e+001°)
1.41579377995711e+002	(7.50903237038016e+001dB,2.67950854837605e+001°)
1.41742471144283e+002	(7.50923542481071e+001dB,2.67685483071624e+001°)
1.41905752168912e+002	(7.50943810688405e+001dB,2.67420292774268e+001°)
1.42069221286021e+002	(7.50964041710965e+001dB,2.67155284048436e+001°)
1.42232878712285e+002	(7.50984235599697e+001dB,2.66890456996334e+001°)
1.42396724664627e+002	(7.51004392405535e+001dB,2.66625811719478e+001°)
1.42560759360221e+002	(7.51024512179407e+001dB,2.66361348318692e+001°)
1.42724983016492e+002	(7.51044594972240e+001dB,2.66097066894112e+001°)
1.42889395851113e+002	(7.51064640834943e+001dB,2.65832967545185e+001°)
1.43053998082009e+002	(7.51084649818426e+001dB,2.65569050370670e+001°)
1.43218789927357e+002	(7.51104621973589e+001dB,2.65305315468638e+001°)
1.43383771605584e+002	(7.51124557351326e+001dB,2.65041762936477e+001°)
1.43548943335368e+002	(7.51144456002518e+001dB,2.64778392870886e+001°)
1.43714305335642e+002	(7.51164317978045e+001dB,2.64515205367885e+001°)
1.43879857825587e+002	(7.51184143328769e+001dB,2.64252200522806e+001°)
1.44045601024640e+002	(7.51203932105553e+001dB,2.63989378430302e+001°)
1.44211535152490e+002	(7.51223684359242e+001dB,2.63726739184343e+001°)
1.44377660429076e+002	(7.51243400140679e+001dB,2.63464282878219e+001°)
1.44543977074595e+002	(7.51263079500692e+001dB,2.63202009604542e+001°)
1.44710485309496e+002	(7.51282722490103e+001dB,2.62939919455243e+001°)
1.44877185354479e+002	(7.51302329159720e+001dB,2.62678012521577e+001°)
1.45044077430502e+002	(7.51321899560345e+001dB,2.62416288894123e+001°)
1.45211161758777e+002	(7.51341433742768e+001dB,2.62154748662784e+001°)
1.45378438560769e+002	(7.51360931757765e+001dB,2.61893391916787e+001°)
1.45545908058199e+002	(7.51380393656104e+001dB,2.61632218744687e+001°)
1.45713570473045e+002	(7.51399819488544e+001dB,2.61371229234364e+001°)
1.45881426027538e+002	(7.51419209305825e+001dB,2.61110423473029e+001°)
1.46049474944166e+002	(7.51438563158686e+001dB,2.60849801547220e+001°)
1.46217717445675e+002	(7.51457881097845e+001dB,2.60589363542808e+001°)
1.46386153755065e+002	(7.51477163174009e+001dB,2.60329109544991e+001°)
1.46554784095594e+002	(7.51496409437877e+001dB,2.60069039638302e+001°)
1.46723608690778e+002	(7.51515619940132e+001dB,2.59809153906607e+001°)
1.46892627764390e+002	(7.51534794731444e+001dB,2.59549452433105e+001°)
1.47061841540459e+002	(7.51553933862471e+001dB,2.59289935300330e+001°)
1.47231250243275e+002	(7.51573037383859e+001dB,2.59030602590153e+001°)
1.47400854097384e+002	(7.51592105346235e+001dB,2.58771454383783e+001°)
1.47570653327592e+002	(7.51611137800219e+001dB,2.58512490761764e+001°)
1.47740648158964e+002	(7.51630134796409e+001dB,2.58253711803981e+001°)
1.47910838816824e+002	(7.51649096385403e+001dB,2.57995117589660e+001°)
