Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
2630.267991895385,-32.57319782963121,8763.103235460041
2666.858664521483,-32.94063029468472,8724.809268712128
2703.958364108846,-33.26056403855542,8689.307589170094
2741.574171927887,-33.63485379626524,8651.238463532927
2779.713267759291,-34.02736971706086,8609.949876366325
2818.382931264458,-34.33125286213684,8579.439057997417
2857.590543374949,-34.73242399107762,8537.409509931447
2897.343587701328,-35.0679760954843,8499.625025218256
2937.649651961533,-35.45281105767675,8455.522324516605
2978.516429429194,-35.82088809822221,8414.600808990652
3019.951720402019,-36.17980258824693,8378.801262520557
3061.963433690682,-36.55842349343678,8333.915061123371
3104.559588128359,-36.94298731484844,8296.531853727962
3147.74831410132,-37.30384788120124,8247.318293582803
3191.537855100765,-37.68693034113152,8207.455734744986
3235.936569296288,-38.01934335394528,8163.99378649239
3280.952931131191,-38.43085632311625,8118.062571820688
3326.595532940047,-38.8107468044705,8076.393833785101
3372.873086588689,-39.17395235426353,8030.423311000121
3419.79442513709,-39.5767652620605,7983.007745540821
3467.368504525317,-39.95793971682096,7939.302840498322
3515.604405282983,-40.32627083834847,7894.676309174922
3564.511334262443,-40.70850967382763,7846.70999889024
3614.098626396135,-41.05105421792216,7798.583707964618
3664.375746478333,-41.45365301125361,7747.829229655687
3715.352290971728,-41.86495048787765,7704.02146231517
3767.037989839089,-42.20543294234743,7652.614417935552
3819.442708400468,-42.59558927451624,7602.176782822108
3872.576449216173,-42.96031397437034,7553.087123795714
3926.449353996001,-43.35369457770689,7507.52062099027
3981.071705534973,-43.75343285487976,7454.118183317966
4036.453929676053,-44.11544748065525,7401.214656945688
4092.60659730011,-44.50200151281859,7350.456377233127
4149.540426343632,-44.87975106675208,7300.679558088659
4207.266283844442,-45.27658057338105,7252.902074194801
4265.79518801593,-45.64512250512223,7198.620938779225
4325.138310350088,-46.0002894062557,7145.364077218659
4385.30697774986,-46.42158928855535,7092.937945876933
4446.312674691088,-46.79285232097951,7041.966721784318
4508.167045414605,-47.16134441981996,6990.075563502139
4570.881896148752,-47.55016995145051,6934.886688003347
4634.469197362884,-47.92200329293584,6885.598799166291
4698.941086052156,-48.30976279556175,6826.701306485214
4764.309868054161,-48.68663621878668,6775.327017934433
4830.588020397728,-49.05872748683651,6718.349582524717
4897.788193684466,-49.46099352443715,6666.318517891164
4965.923214503363,-49.80898143587926,6612.215610728992
5035.006087879053,-50.16173959483598,6558.476083553233
5105.049999754065,-50.51371616040365,6502.528780475105
5176.068319505681,-50.90944372956029,6447.098118168939
5248.074602497728,-51.29653588027023,6392.935157968102
5321.082592667947,-51.64424987044902,6338.192232614184
5395.106225151279,-52.0242890258094,6286.512019350484
