req.	V(Vout)/V(n002)
1.08517554963279e+002	(-1.66428739944683e+000dB,3.33833848090478e+001°)
1.08642562361707e+002	(-1.66126220359794e+000dB,3.33530842203789e+001°)
1.08767713763100e+002	(-1.65824186402696e+000dB,3.33227974236578e+001°)
1.08893009333344e+002	(-1.65522637630860e+000dB,3.32925244464426e+001°)
1.09018449238513e+002	(-1.65221573601079e+000dB,3.32622653162171e+001°)
1.09144033644876e+002	(-1.64920993869469e+000dB,3.32320200603908e+001°)
1.09269762718892e+002	(-1.64620897991474e+000dB,3.32017887062985e+001°)
1.09395636627210e+002	(-1.64321285521862e+000dB,3.31715712812008e+001°)
1.09521655536674e+002	(-1.64022156014752e+000dB,3.31413678122837e+001°)
1.09647819614319e+002	(-1.63723509023574e+000dB,3.31111783266584e+001°)
1.09774129027372e+002	(-1.63425344101124e+000dB,3.30810028513615e+001°)
1.09900583943253e+002	(-1.63127660799534e+000dB,3.30508414133550e+001°)
1.10027184529574e+002	(-1.62830458670282e+000dB,3.30206940395259e+001°)
1.10153930954142e+002	(-1.62533737264212e+000dB,3.29905607566864e+001°)
1.10280823384956e+002	(-1.62237496131504e+000dB,3.29604415915740e+001°)
1.10407861990208e+002	(-1.61941734821708e+000dB,3.29303365708508e+001°)
1.10535046938285e+002	(-1.61646452883751e+000dB,3.29002457211043e+001°)
1.10662378397767e+002	(-1.61351649865899e+000dB,3.28701690688469e+001°)
1.10789856537430e+002	(-1.61057325315807e+000dB,3.28401066405155e+001°)
1.10917481526241e+002	(-1.60763478780488e+000dB,3.28100584624723e+001°)
1.11045253533365e+002	(-1.60470109806363e+000dB,3.27800245610040e+001°)
1.11173172728160e+002	(-1.60177217939206e+000dB,3.27500049623221e+001°)
1.11301239280180e+002	(-1.59884802724188e+000dB,3.27199996925628e+001°)
1.11429453359174e+002	(-1.59592863705853e+000dB,3.26900087777869e+001°)
1.11557815135086e+002	(-1.59301400428163e+000dB,3.26600322439798e+001°)
1.11686324778057e+002	(-1.59010412434454e+000dB,3.26300701170515e+001°)
1.11814982458423e+002	(-1.58719899267469e+000dB,3.26001224228364e+001°)
1.11943788346716e+002	(-1.58429860469360e+000dB,3.25701891870933e+001°)
1.12072742613665e+002	(-1.58140295581667e+000dB,3.25402704355057e+001°)
1.12201845430197e+002	(-1.57851204145364e+000dB,3.25103661936812e+001°)
1.12331096967433e+002	(-1.57562585700821e+000dB,3.24804764871517e+001°)
1.12460497396693e+002	(-1.57274439787821e+000dB,3.24506013413735e+001°)
1.12590046889495e+002	(-1.56986765945574e+000dB,3.24207407817272e+001°)
1.12719745617552e+002	(-1.56699563712735e+000dB,3.23908948335175e+001°)
1.12849593752777e+002	(-1.56412832627357e+000dB,3.23610635219733e+001°)
1.12979591467281e+002	(-1.56126572226928e+000dB,3.23312468722475e+001°)
1.13109738933371e+002	(-1.55840782048395e+000dB,3.23014449094174e+001°)
1.13240036323557e+002	(-1.55555461628100e+000dB,3.22716576584841e+001°)
1.13370483810542e+002	(-1.55270610501868e+000dB,3.22418851443727e+001°)
1.13501081567232e+002	(-1.54986228204966e+000dB,3.22121273919325e+001°)
1.13631829766732e+002	(-1.54702314272083e+000dB,3.21823844259365e+001°)
1.13762728582344e+002	(-1.54418868237382e+000dB,3.21526562710819e+001°)
1.13893778187572e+002	(-1.54135889634466e+000dB,3.21229429519895e+001°)
1.14024978756118e+002	(-1.53853377996417e+000dB,3.20932444932042e+001°)
1.14156330461885e+002	(-1.53571332855766e+000dB,3.20635609191946e+001°)
1.14287833478978e+002	(-1.53289753744523e+000dB,3.20338922543530e+001°)
1.14419487981699e+002	(-1.53008640194151e+000dB,3.20042385229958e+001°)
1.14551294144554e+002	(-1.52727991735617e+000dB,3.19745997493628e+001°)
1.14683252142249e+002	(-1.52447807899317e+000dB,3.19449759576176e+001°)
1.14815362149689e+002	(-1.52168088215177e+000dB,3.19153671718477e+001°)
1.14947624341984e+002	(-1.51888832212574e+000dB,3.18857734160640e+001°)
1.15080038894444e+002	(-1.51610039420398e+000dB,3.18561947142012e+001°)
1.15212605982582e+002	(-1.51331709367011e+000dB,3.18266310901175e+001°)
1.15345325782110e+002	(-1.51053841580283e+000dB,3.17970825675948e+001°)
1.15478198468947e+002	(-1.50776435587567e+000dB,3.17675491703385e+001°)
1.15611224219211e+002	(-1.50499490915739e+000dB,3.17380309219776e+001°)
1.15744403209225e+002	(-1.50223007091166e+000dB,3.17085278460645e+001°)
1.15877735615514e+002	(-1.49946983639726e+000dB,3.16790399660754e+001°)
1.16011221614806e+002	(-1.49671420086817e+000dB,3.16495673054097e+001°)
1.16144861384035e+002	(-1.49396315957348e+000dB,3.16201098873904e+001°)
1.16278655100336e+002	(-1.49121670775744e+000dB,3.15906677352639e+001°)
1.16412602941050e+002	(-1.48847484065963e+000dB,3.15612408722001e+001°)
1.16546705083721e+002	(-1.48573755351483e+000dB,3.15318293212924e+001°)
1.16680961706097e+002	(-1.48300484155302e+000dB,3.15024331055574e+001°)
1.16815372986133e+002	(-1.48027669999980e+000dB,3.14730522479352e+001°)
1.16949939101988e+002	(-1.47755312407593e+000dB,3.14436867712893e+001°)
1.17084660232025e+002	(-1.47483410899759e+000dB,3.14143366984065e+001°)
1.17219536554814e+002	(-1.47211964997641e+000dB,3.13850020519972e+001°)
1.17354568249130e+002	(-1.46940974221956e+000dB,3.13556828546948e+001°)
1.17489755493954e+002	(-1.46670438092977e+000dB,3.13263791290562e+001°)
1.17625098468473e+002	(-1.46400356130508e+000dB,3.12970908975617e+001°)
1.17760597352082e+002	(-1.46130727853943e+000dB,3.12678181826149e+001°)
1.17896252324380e+002	(-1.45861552782206e+000dB,3.12385610065424e+001°)
1.18032063565174e+002	(-1.45592830433817e+000dB,3.12093193915946e+001°)
1.18168031254479e+002	(-1.45324560326845e+000dB,3.11800933599449e+001°)
1.18304155572518e+002	(-1.45056741978925e+000dB,3.11508829336900e+001°)
1.18440436699718e+002	(-1.44789374907286e+000dB,3.11216881348500e+001°)
1.18576874816717e+002	(-1.44522458628732e+000dB,3.10925089853681e+001°)
1.18713470104361e+002	(-1.44255992659639e+000dB,3.10633455071109e+001°)
1.18850222743703e+002	(-1.43989976515980e+000dB,3.10341977218685e+001°)
1.18987132916005e+002	(-1.43724409713316e+000dB,3.10050656513538e+001°)
1.19124200802739e+002	(-1.43459291766801e+000dB,3.09759493172033e+001°)
1.19261426585583e+002	(-1.43194622191171e+000dB,3.09468487409767e+001°)
1.19398810446429e+002	(-1.42930400500784e+000dB,3.09177639441570e+001°)
1.19536352567373e+002	(-1.42666626209578e+000dB,3.08886949481505e+001°)
1.19674053130726e+002	(-1.42403298831129e+000dB,3.08596417742865e+001°)
1.19811912319005e+002	(-1.42140417878587e+000dB,3.08306044438181e+001°)
1.19949930314939e+002	(-1.41877982864738e+000dB,3.08015829779212e+001°)
1.20088107301468e+002	(-1.41615993301987e+000dB,3.07725773976952e+001°)
1.20226443461743e+002	(-1.41354448702351e+000dB,3.07435877241629e+001°)
1.20364938979123e+002	(-1.41093348577459e+000dB,3.07146139782701e+001°)
1.20503594037181e+002	(-1.40832692438597e+000dB,3.06856561808862e+001°)
1.20642408819701e+002	(-1.40572479796658e+000dB,3.06567143528037e+001°)
1.20781383510679e+002	(-1.40312710162171e+000dB,3.06277885147386e+001°)
1.20920518294322e+002	(-1.40053383045327e+000dB,3.05988786873301e+001°)
1.21059813355050e+002	(-1.39794497955900e+000dB,3.05699848911407e+001°)
1.21199268877494e+002	(-1.39536054403386e+000dB,3.05411071466565e+001°)
1.21338885046499e+002	(-1.39278051896867e+000dB,3.05122454742867e+001°)
1.21478662047124e+002	(-1.39020489945102e+000dB,3.04833998943640e+001°)
1.21618600064638e+002	(-1.38763368056507e+000dB,3.04545704271443e+001°)
1.21758699284527e+002	(-1.38506685739149e+000dB,3.04257570928072e+001°)
1.21898959892488e+002	(-1.38250442500736e+000dB,3.03969599114556e+001°)
1.22039382074433e+002	(-1.37994637848691e+000dB,3.03681789031156e+001°)
1.22179966016489e+002	(-1.37739271290040e+000dB,3.03394140877370e+001°)
1.22320711904995e+002	(-1.37484342331547e+000dB,3.03106654851930e+001°)
1.22461619926506e+002	(-1.37229850479597e+000dB,3.02819331152802e+001°)
1.22602690267794e+002	(-1.36975795240285e+000dB,3.02532169977187e+001°)
1.22743923115842e+002	(-1.36722176119374e+000dB,3.02245171521522e+001°)
1.22885318657852e+002	(-1.36468992622304e+000dB,3.01958335981479e+001°)
1.23026877081240e+002	(-1.36216244254230e+000dB,3.01671663551965e+001°)
1.23168598573637e+002	(-1.35963930519964e+000dB,3.01385154427122e+001°)
1.23310483322892e+002	(-1.35712050924030e+000dB,3.01098808800329e+001°)
1.23452531517070e+002	(-1.35460604970676e+000dB,3.00812626864202e+001°)
1.23594743344452e+002	(-1.35209592163781e+000dB,3.00526608810590e+001°)
1.23737118993537e+002	(-1.34959012007006e+000dB,3.00240754830582e+001°)
1.23879658653038e+002	(-1.34708864003673e+000dB,2.99955065114502e+001°)
1.24022362511890e+002	(-1.34459147656825e+000dB,2.99669539851910e+001°)
