Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
1713.957307508427,-37.15912042894081,277.2437893627536
1737.800828749376,-36.79010264521546,276.3125300960691
1761.976046411631,-36.39568488189467,275.5017549190607
1786.487574852052,-36.02369729679326,274.6302746785805
1811.340092619604,-35.61805464030516,273.7635972487299
1836.538343348347,-35.25246312453552,272.9361607984867
1862.087136662869,-34.85430872748271,272.2078253636267
1887.991349096294,-34.47189291692809,271.3980454051898
1914.255925021088,-34.12268354208543,270.5635046670404
1940.885877592779,-33.74207274655268,269.8651908024481
1967.886289706847,-33.36168485246731,269.0983997491172
1995.262314968881,-33.00188549458213,268.3706248684529
2023.019178678274,-32.64260085451185,267.6655483044589
2051.162178825567,-32.25869717318752,267.0226857855524
2079.696687103698,-31.91138887468174,266.3330671241562
2108.628149933291,-31.54580063186356,265.6700673500641
2137.962089502235,-31.18819841738114,265.0315951143244
2167.704104819696,-30.84302874626183,264.437857458389
2197.859872784828,-30.50661120739954,263.8079003482886
2228.435149270305,-30.14189544599783,263.1160813287594
2259.43577022098,-29.79123425269309,262.6712673648938
2290.867652767774,-29.449878406092,262.0457568539541
2322.73679635711,-29.1195739278025,261.4808895437622
2355.049283896011,-28.78318186680347,260.9006670955634
2387.811282913181,-28.45765049859126,260.4481511884539
2421.02904673618,-28.11635052932851,259.9721555971763
2454.708915685034,-27.820322882715,259.3204138841965
2488.857318282393,-27.49657009111412,258.9330492393525
2523.480772480578,-27.16393319219354,258.4146686529507
2558.585886905648,-26.8459572704676,257.9875629099727
2594.179362118818,-26.52684583043664,257.455053855566
2630.267991895385,-26.21366392924385,257.0264388298523
2666.858664521483,-25.92152148332165,256.5678505408367
2703.958364108846,-25.60580499946937,256.1835246885941
2741.574171927887,-25.30847513881338,255.6297449415787
2779.713267759291,-24.9960148093648,255.2438029184166
2818.382931264458,-24.69830265309499,254.8589444040356
2857.590543374949,-24.39344031595597,254.5038636662308
2897.343587701328,-24.10616772902892,254.1919098878306
2937.649651961533,-23.82752960921408,253.8432168320902
2978.516429429194,-23.52019327909859,253.482408036017
3019.951720402019,-23.25023695183413,253.0244930091857
3061.963433690682,-22.97171223439285,252.7226276263751
3104.559588128359,-22.67383970838978,252.3696697404291
3147.74831410132,-22.40907279137326,252.0350530511504
3191.537855100765,-22.12760517187685,251.7033668079743
3235.936569296288,-21.85441388109017,251.4557539558421
3280.952931131191,-21.60974226584603,251.1857895347942
3326.595532940047,-21.3279959061781,250.8716822444599
3372.873086588689,-21.07638426928899,250.4966275404424
3419.79442513709,-20.80446238787615,250.1731548010895
3467.368504525317,-20.54744899351752,249.9263619846272
3515.604405282983,-20.2839107101376,249.6701928283225
3564.511334262443,-20.05050573352712,249.4757418049753
3614.098626396135,-19.80589642295217,249.1269149841519
3664.375746478333,-19.55954174296053,248.8820015342355
3715.352290971728,-19.32377882373103,248.6788546186138
3767.037989839089,-19.09263976413409,248.3912914352074
3819.442708400468,-18.84448594549226,248.1911159064884
3872.576449216173,-18.60911900870653,247.9334781560292
3926.449353996001,-18.35707727252927,247.7405598463175
3981.071705534973,-18.14542384369099,247.5036497530402
4036.453929676053,-17.92012850143264,247.3102796692713
4092.60659730011,-17.68672934454132,247.1172821165873
4149.540426343632,-17.46692444476666,246.9292115199834
4207.266283844442,-17.23829699058675,246.6914201558738
4265.79518801593,-17.03728684347354,246.5360417655678
4325.138310350088,-16.81724942258583,246.2362109225028
4385.30697774986,-16.59027393400595,246.1514973042203
4446.312674691088,-16.39800629314162,245.9405425763221
4508.167045414605,-16.18629050708731,245.8154282217837
4570.881896148752,-15.98946875226309,245.545191936883
4634.469197362884,-15.79444379185747,245.408676406353
4698.941086052156,-15.59188711336129,245.2989169180162
4764.309868054161,-15.36852152462265,245.0499265468504
4830.588020397728,-15.18306157218111,244.94355355735
4897.788193684466,-14.99485866836013,244.7560068102179
4965.923214503363,-14.80401852018232,244.6287006202984
5035.006087879053,-14.62282199419037,244.4806442255988
5105.049999754065,-14.41329261574374,244.357956298331
5176.068319505681,-14.21958807818284,244.2784895707774
5248.074602497728,-14.05677748032535,244.0498841390875
