Freq.	-I(Rl)/I(I1)
1.09521655536674e+002	(-7.20833631893251e+000dB,-9.87090656873635e+001°)
1.09647819614319e+002	(-7.19856579332164e+000dB,-9.87189441210418e+001°)
1.09774129027372e+002	(-7.18879578453742e+000dB,-9.87288334111646e+001°)
1.09900583943253e+002	(-7.17902629371641e+000dB,-9.87387335684836e+001°)
1.10027184529574e+002	(-7.16925732199751e+000dB,-9.87486446037577e+001°)
1.10153930954142e+002	(-7.15948887052232e+000dB,-9.87585665277519e+001°)
1.10280823384956e+002	(-7.14972094043437e+000dB,-9.87684993512381e+001°)
1.10407861990208e+002	(-7.13995353287925e+000dB,-9.87784430849947e+001°)
1.10535046938285e+002	(-7.13018664900617e+000dB,-9.87883977398069e+001°)
1.10662378397767e+002	(-7.12042028996566e+000dB,-9.87983633264661e+001°)
1.10789856537430e+002	(-7.11065445691085e+000dB,-9.88083398557705e+001°)
1.10917481526241e+002	(-7.10088915099780e+000dB,-9.88183273385249e+001°)
1.11045253533365e+002	(-7.09112437338402e+000dB,-9.88283257855404e+001°)
1.11173172728160e+002	(-7.08136012523067e+000dB,-9.88383352076349e+001°)
1.11301239280180e+002	(-7.07159640769986e+000dB,-9.88483556156327e+001°)
1.11429453359174e+002	(-7.06183322195807e+000dB,-9.88583870203645e+001°)
1.11557815135086e+002	(-7.05207056917216e+000dB,-9.88684294326678e+001°)
1.11686324778057e+002	(-7.04230845051243e+000dB,-9.88784828633863e+001°)
1.11814982458423e+002	(-7.03254686715184e+000dB,-9.88885473233702e+001°)
1.11943788346716e+002	(-7.02278582026516e+000dB,-9.88986228234764e+001°)
1.12072742613665e+002	(-7.01302531103029e+000dB,-9.89087093745679e+001°)
1.12201845430197e+002	(-7.00326534062693e+000dB,-9.89188069875145e+001°)
1.12331096967433e+002	(-6.99350591023754e+000dB,-9.89289156731921e+001°)
1.12460497396693e+002	(-6.98374702104712e+000dB,-9.89390354424833e+001°)
1.12590046889495e+002	(-6.97398867424314e+000dB,-9.89491663062770e+001°)
1.12719745617552e+002	(-6.96423087101512e+000dB,-9.89593082754684e+001°)
1.12849593752777e+002	(-6.95447361255572e+000dB,-9.89694613609591e+001°)
1.12979591467281e+002	(-6.94471690005938e+000dB,-9.89796255736572e+001°)
1.13109738933371e+002	(-6.93496073472357e+000dB,-9.89898009244771e+001°)
1.13240036323557e+002	(-6.92520511774801e+000dB,-9.89999874243395e+001°)
1.13370483810542e+002	(-6.91545005033509e+000dB,-9.90101850841714e+001°)
1.13501081567232e+002	(-6.90569553368922e+000dB,-9.90203939149063e+001°)
1.13631829766732e+002	(-6.89594156901782e+000dB,-9.90306139274837e+001°)
1.13762728582344e+002	(-6.88618815753075e+000dB,-9.90408451328497e+001°)
1.13893778187572e+002	(-6.87643530044034e+000dB,-9.90510875419566e+001°)
1.14024978756118e+002	(-6.86668299896092e+000dB,-9.90613411657629e+001°)
1.14156330461885e+002	(-6.85693125431043e+000dB,-9.90716060152334e+001°)
1.14287833478978e+002	(-6.84718006770801e+000dB,-9.90818821013390e+001°)
1.14419487981699e+002	(-6.83742944037642e+000dB,-9.90921694350572e+001°)
1.14551294144554e+002	(-6.82767937354050e+000dB,-9.91024680273712e+001°)
1.14683252142249e+002	(-6.81792986842762e+000dB,-9.91127778892710e+001°)
1.14815362149689e+002	(-6.80818092626758e+000dB,-9.91230990317523e+001°)
1.14947624341984e+002	(-6.79843254829328e+000dB,-9.91334314658172e+001°)
1.15080038894444e+002	(-6.78868473573937e+000dB,-9.91437752024739e+001°)
1.15212605982582e+002	(-6.77893748984379e+000dB,-9.91541302527368e+001°)
1.15345325782110e+002	(-6.76919081184677e+000dB,-9.91644966276265e+001°)
1.15478198468947e+002	(-6.75944470299044e+000dB,-9.91748743381696e+001°)
1.15611224219211e+002	(-6.74969916452060e+000dB,-9.91852633953988e+001°)
1.15744403209225e+002	(-6.73995419768526e+000dB,-9.91956638103531e+001°)
1.15877735615514e+002	(-6.73020980373457e+000dB,-9.92060755940773e+001°)
1.16011221614806e+002	(-6.72046598392155e+000dB,-9.92164987576225e+001°)
1.16144861384035e+002	(-6.71072273950217e+000dB,-9.92269333120458e+001°)
1.16278655100336e+002	(-6.70098007173444e+000dB,-9.92373792684103e+001°)
1.16412602941050e+002	(-6.69123798187932e+000dB,-9.92478366377851e+001°)
1.16546705083721e+002	(-6.68149647119998e+000dB,-9.92583054312454e+001°)
1.16680961706097e+002	(-6.67175554096268e+000dB,-9.92687856598725e+001°)
1.16815372986133e+002	(-6.66201519243575e+000dB,-9.92792773347534e+001°)
1.16949939101988e+002	(-6.65227542689122e+000dB,-9.92897804669813e+001°)
1.17084660232025e+002	(-6.64253624560219e+000dB,-9.93002950676553e+001°)
1.17219536554814e+002	(-6.63279764984568e+000dB,-9.93108211478804e+001°)
1.17354568249130e+002	(-6.62305964090048e+000dB,-9.93213587187676e+001°)
1.17489755493954e+002	(-6.61332222004848e+000dB,-9.93319077914338e+001°)
1.17625098468473e+002	(-6.60358538857421e+000dB,-9.93424683770018e+001°)
1.17760597352082e+002	(-6.59384914776460e+000dB,-9.93530404866002e+001°)
1.17896252324380e+002	(-6.58411349890954e+000dB,-9.93636241313637e+001°)
1.18032063565174e+002	(-6.57437844330120e+000dB,-9.93742193224325e+001°)
1.18168031254479e+002	(-6.56464398223475e+000dB,-9.93848260709530e+001°)
1.18304155572518e+002	(-6.55491011700754e+000dB,-9.93954443880773e+001°)
1.18440436699718e+002	(-6.54517684892043e+000dB,-9.94060742849631e+001°)
1.18576874816717e+002	(-6.53544417927646e+000dB,-9.94167157727743e+001°)
1.18713470104361e+002	(-6.52571210938093e+000dB,-9.94273688626802e+001°)
1.18850222743703e+002	(-6.51598064054236e+000dB,-9.94380335658562e+001°)
1.18987132916005e+002	(-6.50624977407223e+000dB,-9.94487098934831e+001°)
1.19124200802739e+002	(-6.49651951128374e+000dB,-9.94593978567477e+001°)
1.19261426585583e+002	(-6.48678985349383e+000dB,-9.94700974668424e+001°)
1.19398810446429e+002	(-6.47706080202127e+000dB,-9.94808087349655e+001°)
1.19536352567373e+002	(-6.46733235818821e+000dB,-9.94915316723206e+001°)
1.19674053130726e+002	(-6.45760452331936e+000dB,-9.95022662901173e+001°)
1.19811912319005e+002	(-6.44787729874157e+000dB,-9.95130125995709e+001°)
1.19949930314939e+002	(-6.43815068578526e+000dB,-9.95237706119019e+001°)
1.20088107301468e+002	(-6.42842468578310e+000dB,-9.95345403383370e+001°)
1.20226443461743e+002	(-6.41869930007045e+000dB,-9.95453217901081e+001°)
1.20364938979123e+002	(-6.40897452998590e+000dB,-9.95561149784528e+001°)
1.20503594037181e+002	(-6.39925037686994e+000dB,-9.95669199146144e+001°)
1.20642408819701e+002	(-6.38952684206643e+000dB,-9.95777366098416e+001°)
1.20781383510679e+002	(-6.37980392692203e+000dB,-9.95885650753887e+001°)
1.20920518294322e+002	(-6.37008163278558e+000dB,-9.95994053225155e+001°)
